x	y
0.00584	0.49975
0.00585	0.531
0.0058525	3.74975
0.005855	3.7185
0.005865	0.06225
0.005875	0.18725
0.005885	0.281
0.005895	0.43725
0.005905	3.93725
0.0059075	3.87475
0.00591	-0.0315
0.00592	0.2185
0.00593	0.31225
0.00594	0.3435
0.00595	0.406
0.00596	3.93725
0.0059625	3.81225
0.005965	3.781
0.005975	0.156
0.005985	0.2185
0.005995	0.2185
0.006005	0.2185
0.006015	0.531
0.0060175	3.8435
0.00602	3.68725
0.0060225	3.37475
0.006025	-0.094
0.006035	-0.0315
0.006045	-0.0315
0.006055	-0.0315
0.006065	-0.0315
0.006075	0.24975
0.006085	0.18725
0.006095	0.156
0.006105	0.0935
0.006115	0.031
0.006125	-0.0315
0.006135	-0.094
0.006145	-0.1565
0.006155	-0.18775
0.006165	-0.25025
0.006175	-0.31275
0.006185	-0.37525
0.006195	-0.43775
0.006205	-0.43775
0.006215	-0.50025
0.006225	-0.5315
0.006235	-0.5315
0.006245	-0.5315
0.006255	-0.56275
0.006265	-0.5315
0.006275	-0.469
0.006285	-0.50025
0.006295	-0.469
0.006305	-0.4065
0.006315	-0.37525
0.006325	-0.31275
0.006335	-0.25025
0.006345	-0.094
0.006355	-0.0315
0.006365	0.06225
0.006375	0.12475
0.006385	0.281
0.006395	0.3435
0.006405	0.43725
0.006415	0.531
0.006425	3.74975
0.0064275	3.7185
0.00643	-0.0315
0.00644	0.0935
0.00645	0.24975
0.00646	0.281
0.00647	0.4685
0.0064775	3.9685
0.00648	3.8435
0.0064825	3.81225
0.00649	0.2185
0.0065	0.281
0.00651	0.3435
0.00652	0.406
0.00653	0.49975
0.0065325	3.906
0.006535	3.8435
0.0065375	3.781
0.00654	0.0935
0.00655	0.18725
0.00656	0.18725
0.00657	0.18725
0.00658	0.24975
0.00659	3.81225
0.0065925	3.656
0.006595	-0.094
0.006605	-0.06275
0.006615	-0.0315
0.006625	-0.0315
0.006635	-0.0315
0.006645	0.281
0.006655	0.18725
0.006665	0.18725
0.006675	0.0935
0.006685	0.06225
0.006695	-0.0315
0.006705	-0.094
0.006715	-0.1565
0.006725	-0.25025
0.006735	-0.25025
0.006745	-0.31275
0.006755	-0.37525
0.006765	-0.4065
0.006775	-0.43775
0.006785	-0.469
0.006795	-0.50025
0.006805	-0.5315
0.006815	-0.50025
0.006825	-0.56275
0.006835	-0.50025
0.006845	-0.56275
0.006855	-0.5315
0.006865	-0.43775
0.006875	-0.4065
0.006885	-0.4065
0.006895	-0.2815
0.006905	-0.2815
0.006915	-0.12525
0.006925	-0.06275
0.006935	0.031
0.006945	0.0935
0.006955	0.18725
0.006965	0.31225
0.006975	0.406
0.006985	0.4685
0.006995	3.81225
0.0069975	3.7185
0.007	3.5935
0.00701	0.031
0.00702	0.2185
0.00703	0.3435
0.00704	0.43725
0.00705	3.906
0.0070525	3.8435
0.007055	0.12475
0.007065	0.281
0.007075	0.3435
0.007085	0.37475
0.007095	0.43725
0.007105	3.8435
0.0071075	3.81225
0.00711	3.781
0.00712	0.12475
0.00713	0.2185
0.00714	0.24975
0.00715	0.24975
0.00716	3.781
0.0071625	3.68725
0.007165	3.62475
0.007175	-0.0315
0.007185	-0.0315
0.007195	-0.0315
0.007205	-0.06275
0.007215	0.281
0.007225	0.2185
0.007235	0.18725
0.007245	0.0935
0.007255	0.06225
0.007265	-0.000249982
0.007275	-0.06275
0.007285	-0.12525
0.007295	-0.18775
0.007305	-0.2815
0.007315	-0.344
0.007325	-0.37525
0.007335	-0.4065
0.007345	-0.469
0.007355	-0.469
0.007365	-0.50025
0.007375	-0.50025
0.007385	-0.5315
0.007395	-0.5315
0.007405	-0.50025
0.007415	-0.50025
0.007425	-0.50025
0.007435	-0.469
0.007445	-0.4065
0.007455	-0.344
0.007465	-0.31275
0.007475	-0.219
0.007485	-0.1565
0.007495	-0.094
0.007505	-0.0315
0.007515	0.12475
0.007525	0.2185
0.007535	0.31225
0.007545	0.37475
0.007555	0.49975
0.007565	0.49975
0.0075675	3.8435
0.00757	3.7185
0.00758	0.06225
0.00759	0.2185
0.0076	0.281
0.00761	0.37475
0.00762	3.99975
0.0076225	3.8435
0.007625	3.68725
0.007635	0.24975
0.007645	0.3435
0.007655	0.37475
0.007665	0.406
0.007675	0.68725
0.0076775	3.8435
0.00768	3.74975
0.00769	0.18725
0.0077	0.18725
0.00771	0.2185
0.00772	0.2185
0.00773	0.3435
0.0077325	3.74975
0.007735	3.68725
0.0077375	3.62475
0.00774	-0.06275
0.00775	-0.0315
0.00776	-0.0315
0.00777	-0.06275
0.00778	-0.000249982
0.00779	0.281
0.0078	0.18725
0.00781	0.156
0.00782	0.0935
0.00783	0.06225
0.00784	-0.0315
0.00785	-0.094
0.00786	-0.18775
0.00787	-0.25025
0.00788	-0.2815
0.00789	-0.344
0.0079	-0.37525
0.00791	-0.43775
0.00792	-0.469
0.00793	-0.469
0.00794	-0.50025
0.00795	-0.5315
0.00796	-0.5315
0.00797	-0.50025
0.00798	-0.5315
0.00799	-0.5315
0.008	-0.5315
0.00801	-0.4065
0.00802	-0.43775
0.00803	-0.37525
0.00804	-0.31275
0.00805	-0.219
0.00806	-0.12525
0.00807	-0.0315
0.00808	0.06225
0.00809	0.12475
0.0081	0.24975
0.00811	0.31225
0.00812	0.43725
0.00813	0.531
0.00814	3.74975
0.0081425	3.7185
0.008145	-0.0315
0.008155	0.12475
0.008165	0.24975
0.008175	0.31225
0.008185	0.43725
0.0081925	3.906
0.008195	3.81225
0.0082	0.18725
0.00821	0.281
0.00822	0.3435
0.00823	0.37475
0.00824	0.43725
0.0082475	3.8435
0.00825	3.87475
0.0082525	3.81225
0.00826	0.12475
0.00827	0.18725
0.00828	0.2185
0.00829	0.24975
0.0083	0.31225
0.0083025	3.81225
0.008305	3.68725
0.0083075	3.68725
0.00831	-0.094
0.00832	-0.06275
0.00833	-0.0315
0.00834	-0.06275
0.00835	-0.0315
0.00836	0.24975
0.00837	0.18725
0.00838	0.156
0.00839	0.06225
0.0084	0.031
0.00841	-0.000249982
0.00842	-0.094
0.00843	-0.18775
0.00844	-0.25025
0.00845	-0.25025
0.00846	-0.31275
0.00847	-0.37525
0.00848	-0.4065
0.00849	-0.469
0.0085	-0.469
0.00851	-0.50025
0.00852	-0.5315
0.00853	-0.56275
0.00854	-0.50025
0.00855	-0.5315
0.00856	-0.50025
0.00857	-0.469
0.00858	-0.469
0.00859	-0.4065
0.0086	-0.4065
0.00861	-0.344
0.00862	-0.219
0.00863	-0.1565
0.00864	-0.0315
0.00865	0.031
0.00866	0.12475
0.00867	0.24975
0.00868	0.31225
0.00869	0.43725
0.0087	0.531
0.00871	3.781
0.0087125	3.7185
0.008715	-0.06275
0.008725	0.12475
0.008735	0.2185
0.008745	0.31225
0.008755	0.406
0.008765	3.93725
0.0087675	3.8435
0.00877	0.156
0.00878	0.24975
0.00879	0.31225
0.0088	0.37475
0.00881	0.406
0.00882	3.9685
0.0088225	3.81225
0.008825	0.0935
0.008835	0.18725
0.008845	0.18725
0.008855	0.24975
0.008865	0.2185
0.008875	1.4685
0.0088775	3.68725
0.00888	-0.12525
0.00889	-0.06275
0.0089	-0.000249982
0.00891	-0.0315
0.00892	-0.0315
0.00893	0.406
0.00894	0.2185
0.00895	0.18725
0.00896	0.12475
0.00897	0.031
0.00898	-0.000249982
0.00899	-0.094
0.009	-0.1565
0.00901	-0.18775
0.00902	-0.25025
0.00903	-0.31275
0.00904	-0.37525
0.00905	-0.37525
0.00906	-0.469
0.00907	-0.469
0.00908	-0.469
0.00909	-0.50025
0.0091	-0.50025
0.00911	-0.56275
0.00912	-0.50025
0.00913	-0.5315
0.00914	-0.5315
0.00915	-0.50025
0.00916	-0.43775
0.00917	-0.37525
0.00918	-0.31275
0.00919	-0.219
0.0092	-0.1565
0.00921	-0.06275
0.00922	0.031
0.00923	0.0935
0.00924	0.2185
0.00925	0.31225
0.00926	0.3435
0.00927	0.49975
0.00928	0.49975
0.0092825	3.781
0.009285	3.7185
0.0092875	3.656
0.00929	-0.06275
0.0093	0.156
0.00931	0.24975
0.00932	0.3435
0.00933	0.406
0.009335	3.99975
0.0093375	3.81225
0.00934	3.81225
0.009345	0.2185
0.009355	0.281
0.009365	0.37475
0.009375	0.406
0.009385	0.43725
0.0093925	3.87475
0.009395	3.8435
0.0094	0.156
0.00941	0.18725
0.00942	0.156
0.00943	0.2185
0.00944	0.281
0.0094475	3.81225
0.00945	3.68725
0.0094525	3.31225
0.00946	-0.06275
0.00947	-0.06275
0.00948	-0.0315
0.00949	-0.0315
0.0095	0.12475
0.00951	0.24975
0.00952	0.18725
0.00953	0.0935
0.00954	0.06225
0.00955	-0.000249982
0.00956	-0.0315
0.00957	-0.12525
0.00958	-0.219
0.00959	-0.25025
0.0096	-0.344
0.00961	-0.344
0.00962	-0.4065
0.00963	-0.469
0.00964	-0.469
0.00965	-0.50025
0.00966	-0.50025
0.00967	-0.50025
0.00968	-0.56275
0.00969	-0.5315
0.0097	-0.50025
0.00971	-0.469
0.00972	-0.469
0.00973	-0.43775
0.00974	-0.344
0.00975	-0.31275
0.00976	-0.25025
0.00977	-0.18775
0.00978	-0.094
0.00979	-0.000249982
0.0098	0.0935
0.00981	0.156
0.00982	0.281
0.00983	0.37475
0.00984	0.4685
0.00985	0.56225
0.009855	3.7185
0.0098575	3.68725
0.009865	0.031
0.009875	0.18725
0.009885	0.24975
0.009895	0.37475
0.009905	0.4685
0.0099075	3.93725
0.00991	3.87475
0.00992	0.2185
0.00993	0.281
0.00994	0.37475
0.00995	0.406
0.00996	0.4685
0.009965	3.81225
