t	u	v	x	y
0	-0.2602	-0.2	-0.2	-0.2
0.00183136	-0.25985	-0.200467	-0.200467	-0.200467
0.00366272	-0.25944	-0.200932	-0.200932	-0.200932
0.00549408	-0.259009	-0.201397	-0.201397	-0.201397
0.0148962	-0.256741	-0.203754	-0.203754	-0.203754
0.0242983	-0.254452	-0.206079	-0.206079	-0.206079
0.0337004	-0.252144	-0.208371	-0.208371	-0.208371
0.091114	-0.237627	-0.221681	-0.221681	-0.221681
0.148528	-0.222364	-0.233725	-0.233725	-0.233725
0.205941	-0.206324	-0.244427	-0.244427	-0.244427
0.263355	-0.189474	-0.253713	-0.253713	-0.253713
0.377013	-0.153699	-0.267577	-0.267577	-0.267577
0.490672	-0.114352	-0.275024	-0.275024	-0.275024
0.531418	-0.0989411	-0.276043	-0.276043	-0.276043
0.572165	-0.0829885	-0.276101	-0.276101	-0.276101
0.612911	-0.0664403	-0.275165	-0.275165	-0.275165
0.653658	-0.0491462	-0.273193	-0.273193	-0.273193
0.700925	-0.0279204	-0.269545	-0.269545	-0.269545
0.748192	-0.00519102	-0.264344	-0.264344	-0.264344
0.766199	0.00395607	-0.261931	-0.261931	-0.261931
0.784206	0.0134589	-0.259266	-0.259266	-0.259266
0.802214	0.0233968	-0.256338	-0.256338	-0.256338
0.820221	0.0339012	-0.253134	-0.253134	-0.253134
0.838228	0.0452368	-0.249635	-0.249635	-0.249635
0.858624	0.0598983	-0.245276	-0.245276	-0.245276
0.864743	0.064894	-0.243878	-0.243878	-0.243878
0.870862	0.0703973	-0.242432	-0.242432	-0.242432
0.87698	0.0766429	-0.240931	-0.240931	-0.240931
0.883099	0.0840559	-0.239368	-0.239368	-0.239368
0.889218	0.093455	-0.237729	-0.237729	-0.237729
0.894413	0.104216	-0.236258	-0.236258	-0.236258
0.898544	0.116108	-0.235019	-0.235019	-0.235019
0.901891	0.129675	-0.233951	-0.233951	-0.233951
0.904645	0.145491	-0.233012	-0.233012	-0.233012
0.906938	0.164167	-0.232171	-0.232171	-0.232171
0.90923	0.191722	-0.231251	-0.231251	-0.231251
0.910879	0.220738	-0.23052	-0.23052	-0.23052
0.912527	0.263322	-0.229701	-0.229701	-0.229701
0.913787	0.31057	-0.22899	-0.22899	-0.22899
0.915047	0.378287	-0.228171	-0.228171	-0.228171
