x	y
0	-0.3605
0.000105651	-0.357456
0.000610043	-0.34705
0.00119622	-0.340642
0.00257212	-0.335892
0.00311352	-0.335358
0.00534539	-0.335041
0.00764351	-0.335428
0.023513	-0.33795
0.0308732	-0.339101
0.178729	-0.358515
0.371968	-0.375985
0.527688	-0.383914
0.557238	-0.384811
0.835195	-0.38383
1.0836	-0.368516
1.63229	-0.285637
1.77839	-0.251656
2.15196	-0.139324
2.34684	-0.0610819
2.41797	-0.0267817
2.44168	-0.0143726
2.46522	-0.00132942
2.48329	0.00928629
2.51398	0.0290239
2.53091	0.0414275
2.56666	0.0779445
2.57792	0.100173
2.58788	0.143365
2.59057	0.167482
2.5956	0.262855
2.59808	0.377894
2.60057	0.604648
2.60138	0.703009
2.60219	0.798335
2.60301	0.876603
2.60382	0.93019
2.60463	0.96068
2.60526	0.973615
2.60589	0.981069
2.60652	0.98505
2.60715	0.986906
2.60803	0.987399
2.60892	0.98678
2.60981	0.98576
2.61069	0.984575
2.61158	0.983286
2.61471	0.978374
2.61783	0.973199
2.62096	0.967925
2.62408	0.962584
2.63931	0.935235
2.65453	0.905072
2.66976	0.870879
2.68498	0.830166
2.70261	0.765844
2.7079	0.739523
2.71318	0.704803
2.71847	0.651831
2.72006	0.629726
2.72164	0.601858
2.72323	0.564921
2.72482	0.512989
2.72612	0.451571
2.72994	0.072398
2.73012	0.0459903
2.73041	0.00419174
2.73046	-0.00317635
2.73064	-0.0280037
2.73071	-0.0383997
2.73128	-0.111177
2.73177	-0.163067
2.73312	-0.246681
2.73367	-0.262253
2.73533	-0.280923
2.737	-0.283773
2.7395	-0.283059
2.74034	-0.282518
2.74477	-0.279566
2.74773	-0.277607
2.77115	-0.261728
2.77895	-0.25633
2.86658	-0.19081
2.94216	-0.12338
3.01562	-0.0340958
3.02578	-0.017003
3.03717	0.00562647
3.04199	0.0169583
3.05238	0.048094
3.05637	0.0644784
3.0651	0.123726
3.0691	0.181853
3.07332	0.328683
3.07459	0.41842
3.07586	0.545327
3.07673	0.652284
3.07742	0.742235
3.07811	0.825291
3.0788	0.891954
3.07949	0.938453
3.08018	0.96704
3.08114	0.986053
3.08211	0.993157
3.08307	0.996087
3.08404	0.997282
3.085	0.997243
3.08597	0.996363
3.08846	0.992838
3.09096	0.989375
3.09346	0.986145
3.09596	0.982691
3.09846	0.97908
3.10699	0.966649
3.11552	0.953798
3.12405	0.94052
3.13258	0.926709
3.15242	0.89194
3.17226	0.852201
3.1921	0.802907
3.19806	0.784935
3.20401	0.764251
3.20996	0.739684
3.21591	0.708222
3.22195	0.661433
3.22376	0.642233
3.22557	0.618171
3.22738	0.586585
3.22919	0.542313
3.231	0.475042
3.23222	0.407623
3.23494	0.138277
3.2355	0.0602793
3.23643	-0.0673656
3.2368	-0.111802
3.23791	-0.207795
3.23876	-0.246128
3.24021	-0.271687
3.24069	-0.274761
3.24267	-0.278158
3.24416	-0.277527
3.2464	-0.275761
3.24739	-0.274888
3.25037	-0.271981
3.25236	-0.27028
3.25646	-0.266528
3.25801	-0.265077
3.26268	-0.260783
3.26952	-0.254355
3.27978	-0.244548
3.31141	-0.212716
3.38579	-0.123325
3.41249	-0.0815378
3.43353	-0.040158
3.43792	-0.0297976
3.44639	-0.00696353
3.4486	-0.000152616
3.45037	0.00564777
3.45178	0.0105002
