x	y
0	0.802623
0.001	0.803226
0.002	0.803839
0.003	0.804463
0.004	0.8051
0.005	0.805752
0.006	0.806422
0.007	0.807112
0.008	0.807824
0.009	0.808562
0.01	0.809327
0.011	0.810121
0.012	0.810948
0.013	0.811806
0.014	0.812694
0.015	0.813609
0.016	0.814548
0.017	0.815507
0.018	0.816483
0.019	0.817471
0.02	0.818463
0.021	0.819449
0.022	0.820419
0.023	0.82136
0.024	0.822259
0.025	0.823104
0.026	0.823881
0.027	0.824576
0.028	0.825178
0.029	0.825689
0.03	0.826111
0.031	0.826451
0.032	0.826717
0.033	0.82692
0.034	0.82707
0.035	0.827176
0.036	0.82725
0.037	0.827295
0.038	0.827315
0.039	0.827312
0.04	0.827284
0.041	0.827223
0.042	0.82712
0.043	0.826965
0.044	0.826741
0.045	0.826422
0.046	0.825994
0.047	0.825454
0.048	0.82483
0.049	0.824163
0.05	0.823482
0.051	0.822795
0.052	0.822089
0.053	0.821349
0.054	0.820561
0.055	0.819711
0.056	0.818784
0.057	0.81777
0.058	0.816676
0.059	0.81553
0.06	0.814366
0.061	0.813217
0.062	0.812116
0.063	0.81109
0.064	0.810144
0.065	0.80927
0.066	0.80845
0.067	0.807671
0.068	0.806916
0.069	0.806171
0.07	0.805422
0.071	0.804668
0.072	0.803907
0.073	0.803145
0.074	0.802397
0.075	0.801687
0.076	0.801035
0.077	0.800462
0.078	0.799983
0.079	0.7996
0.08	0.799313
0.081	0.799117
0.082	0.799002
0.083	0.798959
0.084	0.798975
0.085	0.799043
0.086	0.799153
0.087	0.799303
0.088	0.799489
0.089	0.799714
0.09	0.799978
0.091	0.800283
0.092	0.80063
0.093	0.801023
0.094	0.801465
0.095	0.80196
0.096	0.802512
0.097	0.803129
0.098	0.803821
0.099	0.804604
0.1	0.805496
0.101	0.806497
0.102	0.80757
0.103	0.80866
0.104	0.809715
0.105	0.810708
0.106	0.811637
0.107	0.812508
0.108	0.813327
0.109	0.814103
0.11	0.814836
0.111	0.815532
0.112	0.816194
0.113	0.816834
0.114	0.817463
0.115	0.818093
0.116	0.818735
0.117	0.819398
0.118	0.820094
0.119	0.820826
0.12	0.821587
0.121	0.822365
0.122	0.823148
0.123	0.823925
0.124	0.824684
0.125	0.825413
0.126	0.826101
0.127	0.826738
0.128	0.827316
0.129	0.82783
0.13	0.82828
0.131	0.828667
0.132	0.828994
0.133	0.829267
0.134	0.829493
0.135	0.829677
0.136	0.829822
0.137	0.82993
0.138	0.830002
0.139	0.830042
0.14	0.830047
0.141	0.830014
0.142	0.829939
0.143	0.829819
0.144	0.829649
0.145	0.829425
0.146	0.829144
0.147	0.828801
0.148	0.828389
0.149	0.827902
0.15	0.827332
0.151	0.82667
0.152	0.825911
0.153	0.825046
0.154	0.824068
0.155	0.822977
0.156	0.821783
0.157	0.820512
0.158	0.819195
0.159	0.817863
0.16	0.816543
0.161	0.815254
0.162	0.814016
0.163	0.812847
0.164	0.811757
0.165	0.81075
0.166	0.80983
0.167	0.809
0.168	0.80826
0.169	0.807612
0.17	0.807053
0.171	0.806585
0.172	0.806205
0.173	0.805914
0.174	0.805712
0.175	0.805598
