x	y
0	0.41755
0.001	0.418813
0.002	0.420135
0.003	0.421511
0.004	0.422934
0.005	0.424397
0.006	0.425895
0.007	0.427421
0.008	0.428966
0.009	0.430525
0.01	0.432091
0.011	0.433656
0.012	0.435212
0.013	0.436754
0.014	0.438275
0.015	0.439766
0.016	0.441222
0.017	0.442636
0.018	0.444001
0.019	0.445312
0.02	0.446562
0.021	0.447747
0.022	0.44886
0.023	0.449898
0.024	0.450855
0.025	0.451727
0.026	0.45251
0.027	0.453202
0.028	0.453799
0.029	0.454299
0.03	0.4547
0.031	0.455001
0.032	0.4552
0.033	0.455297
0.034	0.455292
0.035	0.455186
0.036	0.454979
0.037	0.454672
0.038	0.454269
0.039	0.45377
0.04	0.45318
0.041	0.4525
0.042	0.451735
0.043	0.450889
0.044	0.449966
0.045	0.44897
0.046	0.447908
0.047	0.446784
0.048	0.445604
0.049	0.444374
0.05	0.443099
0.051	0.441787
0.052	0.440444
0.053	0.439076
0.054	0.437691
0.055	0.436294
0.056	0.434892
0.057	0.433493
0.058	0.432102
0.059	0.430728
0.06	0.429375
0.061	0.428051
0.062	0.426761
0.063	0.425512
0.064	0.42431
0.065	0.423159
0.066	0.422066
0.067	0.421035
0.068	0.42007
0.069	0.419175
0.07	0.418356
0.071	0.417614
0.072	0.416953
0.073	0.416375
0.074	0.415883
0.075	0.415479
0.076	0.415162
0.077	0.414934
0.078	0.414796
0.079	0.414747
0.08	0.414786
0.081	0.414911
0.082	0.415123
0.083	0.415417
0.084	0.415792
0.085	0.416245
0.086	0.416772
0.087	0.417369
0.088	0.418033
0.089	0.418758
0.09	0.41954
0.091	0.420374
0.092	0.421253
0.093	0.422173
0.094	0.423126
0.095	0.424108
0.096	0.425111
0.097	0.42613
0.098	0.427156
0.099	0.428184
0.1	0.429208
0.101	0.430219
0.102	0.431212
0.103	0.43218
0.104	0.433116
0.105	0.434014
0.106	0.434867
0.107	0.43567
0.108	0.436416
0.109	0.4371
0.11	0.437717
0.111	0.438262
0.112	0.438729
0.113	0.439115
0.114	0.439416
0.115	0.439629
0.116	0.439749
0.117	0.439775
0.118	0.439705
0.119	0.439536
0.12	0.439267
0.121	0.438899
0.122	0.43843
0.123	0.43786
0.124	0.437191
0.125	0.436424
0.126	0.435561
0.127	0.434603
0.128	0.433554
0.129	0.432417
0.13	0.431195
0.131	0.429893
0.132	0.428515
0.133	0.427065
0.134	0.42555
0.135	0.423976
0.136	0.422347
0.137	0.42067
0.138	0.418953
0.139	0.417201
0.14	0.415423
0.141	0.413624
0.142	0.411813
0.143	0.409997
0.144	0.408184
0.145	0.406381
0.146	0.404596
0.147	0.402837
0.148	0.401111
0.149	0.399425
0.15	0.397788
0.151	0.396206
0.152	0.394686
0.153	0.393235
0.154	0.39186
0.155	0.390566
0.156	0.38936
0.157	0.388246
0.158	0.387231
0.159	0.386319
0.16	0.385513
0.161	0.384819
0.162	0.384239
0.163	0.383776
0.164	0.383433
0.165	0.383211
0.166	0.383111
0.167	0.383135
0.168	0.383283
0.169	0.383554
0.17	0.383948
0.171	0.384463
0.172	0.385097
0.173	0.385848
0.174	0.386713
0.175	0.387688
0.176	0.38877
0.177	0.389954
0.178	0.391235
0.179	0.392607
0.18	0.394066
0.181	0.395605
0.182	0.397217
0.183	0.398895
0.184	0.400633
0.185	0.402424
0.186	0.404258
0.187	0.40613
0.188	0.40803
0.189	0.40995
0.19	0.411883
