x	y
0	0.0446488
0.001	0.0438202
0.002	0.043135
0.003	0.0425968
0.004	0.0422081
0.005	0.0419706
0.006	0.0418851
0.007	0.0419519
0.008	0.04217
0.009	0.0425379
0.01	0.0430531
0.011	0.0437125
0.012	0.0445121
0.013	0.0454473
0.014	0.0465125
0.015	0.0477018
0.016	0.0490084
0.017	0.0504251
0.018	0.0519441
0.019	0.053557
0.02	0.0552552
0.021	0.0570295
0.022	0.0588704
0.023	0.0607683
0.024	0.0627132
0.025	0.064695
0.026	0.0667034
0.027	0.0687282
0.028	0.0707592
0.029	0.0727861
0.03	0.0747989
0.031	0.0767878
0.032	0.0787429
0.033	0.080655
0.034	0.082515
0.035	0.0843141
0.036	0.086044
0.037	0.0876969
0.038	0.0892655
0.039	0.0907428
0.04	0.0921227
0.041	0.0933993
0.042	0.0945675
0.043	0.0956228
0.044	0.0965614
0.045	0.0973801
0.046	0.0980762
0.047	0.0986479
0.048	0.0990938
0.049	0.0994136
0.05	0.0996071
0.051	0.0996751
0.052	0.099619
0.053	0.0994408
0.054	0.0991429
0.055	0.0987286
0.056	0.0982016
0.057	0.097566
0.058	0.0968267
0.059	0.0959888
0.06	0.095058
0.061	0.0940402
0.062	0.092942
0.063	0.09177
0.064	0.0905313
0.065	0.0892331
0.066	0.0878829
0.067	0.0864884
0.068	0.0850573
0.069	0.0835974
0.07	0.0821168
0.071	0.0806232
0.072	0.0791246
0.073	0.0776288
0.074	0.0761433
0.075	0.0746757
0.076	0.0732334
0.077	0.0718235
0.078	0.0704527
0.079	0.0691276
0.08	0.0678545
0.081	0.0666392
0.082	0.0654872
0.083	0.0644035
0.084	0.0633929
0.085	0.0624595
0.086	0.0616072
0.087	0.0608391
0.088	0.0601581
0.089	0.0595665
0.09	0.059066
0.091	0.0586579
0.092	0.058343
0.093	0.0581215
0.094	0.0579931
0.095	0.057957
0.096	0.058012
0.097	0.0581562
0.098	0.0583875
0.099	0.0587032
0.1	0.0591
0.101	0.0595744
0.102	0.0601225
0.103	0.0607399
0.104	0.0614218
0.105	0.0621632
0.106	0.0629589
0.107	0.0638031
0.108	0.0646901
0.109	0.0656138
0.11	0.066568
0.111	0.0675463
0.112	0.0685424
0.113	0.0695496
0.114	0.0705615
0.115	0.0715714
0.116	0.072573
0.117	0.0735599
0.118	0.0745256
0.119	0.0754642
0.12	0.0763696
0.121	0.0772361
0.122	0.0780583
0.123	0.0788309
0.124	0.0795491
0.125	0.0802083
0.126	0.0808044
0.127	0.0813335
0.128	0.0817924
0.129	0.082178
0.13	0.082488
0.131	0.0827203
0.132	0.0828733
0.133	0.0829461
0.134	0.0829381
0.135	0.0828492
0.136	0.08268
0.137	0.0824313
0.138	0.0821047
0.139	0.0817021
0.14	0.0812259
0.141	0.0806791
0.142	0.080065
0.143	0.0793873
0.144	0.0786504
0.145	0.0778588
0.146	0.0770174
0.147	0.0761315
0.148	0.0752068
0.149	0.0742492
0.15	0.0732647
0.151	0.0722597
0.152	0.0712406
0.153	0.0702142
0.154	0.069187
0.155	0.0681659
0.156	0.0671577
0.157	0.066169
0.158	0.0652066
0.159	0.064277
0.16	0.0633867
0.161	0.0625418
0.162	0.0617483
0.163	0.061012
0.164	0.0603383
0.165	0.0597323
0.166	0.0591986
0.167	0.0587417
0.168	0.0583654
0.169	0.0580731
0.17	0.0578679
0.171	0.0577522
0.172	0.0577279
0.173	0.0577966
0.174	0.0579591
0.175	0.0582158
0.176	0.0585665
0.177	0.0590104
0.178	0.0595464
0.179	0.0601725
0.18	0.0608865
0.181	0.0616854
0.182	0.0625659
0.183	0.063524
0.184	0.0645556
0.185	0.0656558
0.186	0.0668194
0.187	0.0680409
0.188	0.0693143
0.189	0.0706335
0.19	0.0719917
0.191	0.0733824
0.192	0.0747986
0.193	0.0762329
0.194	0.0776783
0.195	0.0791274
0.196	0.0805726
0.197	0.0820067
0.198	0.0834223
0.199	0.0848121
0.2	0.0861689
0.201	0.0874858
0.202	0.088756
0.203	0.089973
0.204	0.0911305
0.205	0.0922225
0.206	0.0932435
0.207	0.0941882
0.208	0.0950519
0.209	0.0958302
0.21	0.0965191
0.211	0.0971151
0.212	0.0976154
0.213	0.0980175
0.214	0.0983194
0.215	0.0985197
0.216	0.0986176
0.217	0.0986126
0.218	0.0985049
0.219	0.0982954
0.22	0.097985
0.221	0.0975757
0.222	0.0970696
0.223	0.0964694
0.224	0.0957782
0.225	0.0949998
0.226	0.094138
0.227	0.0931973
0.228	0.0921825
0.229	0.0910987
0.23	0.0899513
0.231	0.088746
0.232	0.0874887
0.233	0.0861855
0.234	0.0848429
0.235	0.0834672
0.236	0.0820649
0.237	0.0806429
0.238	0.0792076
0.239	0.0777658
0.24	0.0763241
0.241	0.074889
0.242	0.0734672
0.243	0.0720648
0.244	0.0706882
0.245	0.0693432
0.246	0.0680357
0.247	0.0667713
0.248	0.0655553
0.249	0.0643926
0.25	0.063288
0.251	0.0622459
0.252	0.0612703
0.253	0.060365
0.254	0.0595333
0.255	0.0587782
0.256	0.0581024
0.257	0.057508
0.258	0.0569968
0.259	0.0565705
0.26	0.05623
0.261	0.055976
0.262	0.0558088
0.263	0.0557285
0.264	0.0557344
0.265	0.055826
0.266	0.0560019
0.267	0.0562608
0.268	0.0566008
0.269	0.0570198
0.27	0.0575154
0.271	0.0580849
0.272	0.0587253
0.273	0.0594335
0.274	0.0602058
0.275	0.0610387
0.276	0.0619282
0.277	0.0628703
0.278	0.0638608
0.279	0.0648953
0.28	0.0659692
0.281	0.0670779
0.282	0.0682168
0.283	0.0693809
0.284	0.0705655
0.285	0.0717657
0.286	0.0729765
0.287	0.0741929
0.288	0.0754102
0.289	0.0766233
0.29	0.0778275
0.291	0.0790179
0.292	0.0801898
0.293	0.0813387
0.294	0.0824599
0.295	0.0835491
0.296	0.0846021
0.297	0.0856147
0.298	0.0865829
0.299	0.0875031
0.3	0.0883715
0.301	0.0891849
0.302	0.0899402
0.303	0.0906342
0.304	0.0912645
0.305	0.0918286
0.306	0.0923242
0.307	0.0927495
0.308	0.0931029
0.309	0.093383
0.31	0.093589
0.311	0.0937199
0.312	0.0937756
0.313	0.0937558
0.314	0.0936609
0.315	0.0934914
0.316	0.0932482
0.317	0.0929327
0.318	0.0925464
0.319	0.0920913
0.32	0.0915695
0.321	0.0909837
0.322	0.0903368
0.323	0.089632
0.324	0.0888728
0.325	0.0880631
0.326	0.087207
0.327	0.0863088
0.328	0.0853731
0.329	0.0844049
0.33	0.0834092
0.331	0.0823914
0.332	0.0813567
0.333	0.0803109
0.334	0.0792597
0.335	0.0782089
0.336	0.0771645
0.337	0.0761322
0.338	0.0751182
0.339	0.0741283
0.34	0.0731684
0.341	0.0722443
0.342	0.0713616
0.343	0.0705259
0.344	0.0697425
0.345	0.0690165
0.346	0.0683527
0.347	0.0677558
0.348	0.0672299
0.349	0.066779
0.35	0.0664066
0.351	0.0661159
0.352	0.0659094
0.353	0.0657896
0.354	0.065758
0.355	0.0658161
0.356	0.0659645
0.357	0.0662036
0.358	0.0665329
0.359	0.0669516
0.36	0.0674584
0.361	0.0680513
0.362	0.0687277
0.363	0.0694848
0.364	0.0703188
0.365	0.0712256
0.366	0.0722008
0.367	0.0732391
0.368	0.074335
0.369	0.0754826
0.37	0.0766755
0.371	0.0779068
0.372	0.0791695
0.373	0.0804562
0.374	0.0817591
0.375	0.0830706
0.376	0.0843824
0.377	0.0856865
0.378	0.0869747
0.379	0.0882386
0.38	0.0894702
0.381	0.0906612
0.382	0.0918037
0.383	0.09289
0.384	0.0939125
0.385	0.0948639
0.386	0.0957374
0.387	0.0965265
0.388	0.0972252
0.389	0.0978278
0.39	0.0983294
0.391	0.0987255
0.392	0.0990122
0.393	0.0991864
0.394	0.0992455
0.395	0.0991876
0.396	0.0990117
0.397	0.0987172
0.398	0.0983046
0.399	0.0977749
0.4	0.09713
0.401	0.0963724
0.402	0.0955054
0.403	0.0945331
0.404	0.0934601
0.405	0.092292
0.406	0.0910348
0.407	0.0896952
0.408	0.0882804
0.409	0.0867983
0.41	0.0852572
0.411	0.0836659
0.412	0.0820335
0.413	0.0803696
0.414	0.0786838
