x	y
6.63196249337683e-003	1.71759290648707e-001
2.46921950766279e-002	1.75341454411222e-001
4.24611335859556e-002	1.76177669295847e-001
5.99312445539308e-002	1.73717992180261e-001
7.68602014449190e-002	1.68791104481660e-001
9.33497060692125e-002	1.68821238351376e-001
1.09411058627955e-001	1.74633308472891e-001
1.26221991195888e-001	1.79609163709781e-001
1.43737302968437e-001	1.80449145328120e-001
1.61748568013400e-001	1.80456678795549e-001
1.79789966928078e-001	1.82663984752262e-001
1.97570205638549e-001	1.84325114320368e-001
2.14786689869746e-001	1.81869203938497e-001
2.31685512891018e-001	1.74742543750612e-001
2.48046948569018e-001	1.65423644540873e-001
2.64699678320941e-001	1.58850694209024e-001
2.81696436418791e-001	1.58873294611311e-001
2.99007088992851e-001	1.63291673258451e-001
3.16586435238547e-001	1.68806171416518e-001
3.34165781484244e-001	1.74320669574585e-001
3.51730060795082e-001	1.78735281488010e-001
3.69506532771839e-001	1.80121439494956e-001
3.87483897213370e-001	1.77654228911941e-001
4.04916340844200e-001	1.72444836184751e-001
4.22345017741316e-001	1.66960471896400e-001
4.40307315247989e-001	1.63393375068743e-001
4.58564673562301e-001	1.62847198680137e-001
4.76367512675059e-001	1.66158157615206e-001
4.93712065852550e-001	1.73051280312790e-001
5.10560665757628e-001	1.80776851161284e-001
5.27610158127481e-001	1.84649053419818e-001
5.45371563169380e-001	1.84935325182122e-001
5.63371528013199e-001	1.84117943966069e-001
5.80830338780030e-001	1.80833352167002e-001
5.97744228736160e-001	1.74806578223759e-001
6.14374358085796e-001	1.66583798524947e-001
6.30482167027018e-001	1.57268666048922e-001
6.46877503308448e-001	1.50424510889627e-001
6.64340080808994e-001	1.47414890651720e-001
6.82355112587671e-001	1.47697395680310e-001
6.99908091697366e-001	1.51287092910254e-001
7.17245111407428e-001	1.57630272485517e-001
7.34589664584918e-001	1.64523395183101e-001
7.52123810026041e-001	1.66738234607243e-001
7.69313927121236e-001	1.62357523297248e-001
7.85966656873159e-001	1.55784572965399e-001
8.03168074169498e-001	1.52228776338885e-001
8.21183105948175e-001	1.52511281367475e-001
8.38251431986600e-001	1.57758341431811e-001
8.51620825517361e-001	1.70761106214357e-001
8.74644357558453e-001	1.66293760028929e-001
8.91017093437597e-001	1.57799775502671e-001
9.08490971139286e-001	1.55615069948245e-001
9.26490935983105e-001	1.54797688732193e-001
9.44479600625780e-001	1.53155392832659e-001
9.61737518927837e-001	1.53724169623553e-001
9.78037431288499e-001	1.58432586766711e-001
9.94401378122308e-001	1.67815520449597e-001
