x	y
-1.5	2.625
-1.49	2.54805
-1.48	2.47219
-1.47	2.39742
-1.46	2.32374
-1.45	2.25112
-1.44	2.17958
-1.43	2.10911
-1.42	2.03969
-1.41	1.97132
-1.4	1.904
-1.39	1.83772
-1.38	1.77247
-1.37	1.70825
-1.36	1.64506
-1.35	1.58288
-1.34	1.5217
-1.33	1.46154
-1.32	1.40237
-1.31	1.34419
-1.3	1.287
-1.29	1.23079
-1.28	1.17555
-1.27	1.12128
-1.26	1.06798
-1.25	1.01562
-1.24	0.964224
-1.23	0.913767
-1.22	0.864248
-1.21	0.815661
-1.2	0.768
-1.19	0.721259
-1.18	0.675432
-1.17	0.630513
-1.16	0.586496
-1.15	0.543375
-1.14	0.501144
-1.13	0.459797
-1.12	0.419328
-1.11	0.379731
-1.1	0.341
-1.09	0.303129
-1.08	0.266112
-1.07	0.229943
-1.06	0.194616
-1.05	0.160125
-1.04	0.126464
-1.03	0.093627
-1.02	0.061608
-1.01	0.030401
-1	0
-0.99	-0.029601
-0.98	-0.058408
-0.97	-0.086427
-0.96	-0.113664
-0.95	-0.140125
-0.94	-0.165816
-0.93	-0.190743
-0.92	-0.214912
-0.91	-0.238329
-0.9	-0.261
-0.89	-0.282931
-0.88	-0.304128
-0.87	-0.324597
-0.86	-0.344344
-0.85	-0.363375
-0.84	-0.381696
-0.83	-0.399313
-0.82	-0.416232
-0.81	-0.432459
-0.8	-0.448
-0.79	-0.462861
-0.78	-0.477048
-0.77	-0.490567
-0.76	-0.503424
-0.75	-0.515625
-0.74	-0.527176
-0.73	-0.538083
-0.72	-0.548352
-0.71	-0.557989
-0.7	-0.567
-0.69	-0.575391
-0.68	-0.583168
-0.67	-0.590337
-0.66	-0.596904
-0.65	-0.602875
-0.64	-0.608256
-0.63	-0.613053
-0.62	-0.617272
-0.61	-0.620919
-0.6	-0.624
-0.59	-0.626521
-0.58	-0.628488
-0.57	-0.629907
-0.56	-0.630784
-0.55	-0.631125
-0.54	-0.630936
-0.53	-0.630223
-0.52	-0.628992
-0.51	-0.627249
-0.5	-0.625
-0.49	-0.622251
-0.48	-0.619008
-0.47	-0.615277
-0.46	-0.611064
-0.45	-0.606375
-0.44	-0.601216
-0.43	-0.595593
-0.42	-0.589512
-0.41	-0.582979
-0.4	-0.576
-0.39	-0.568581
-0.38	-0.560728
-0.37	-0.552447
-0.36	-0.543744
-0.35	-0.534625
-0.34	-0.525096
-0.33	-0.515163
-0.32	-0.504832
-0.31	-0.494109
-0.3	-0.483
-0.29	-0.471511
-0.28	-0.459648
-0.27	-0.447417
-0.26	-0.434824
-0.25	-0.421875
-0.24	-0.408576
-0.23	-0.394933
-0.22	-0.380952
-0.21	-0.366639
-0.2	-0.352
-0.19	-0.337041
-0.18	-0.321768
-0.17	-0.306187
-0.16	-0.290304
-0.15	-0.274125
-0.14	-0.257656
-0.13	-0.240903
-0.12	-0.223872
-0.11	-0.206569
-0.1	-0.189
-0.09	-0.171171
-0.08	-0.153088
-0.07	-0.134757
-0.06	-0.116184
-0.05	-0.097375
-0.04	-0.078336
-0.03	-0.059073
-0.02	-0.039592
-0.01	-0.019899
0	0
0.01	0.020099
