x	y1	y2	y3
0	2.49506	3.24006	4.54171
0.01	2.47973	3.21981	4.51264
0.02	2.46444	3.19959	4.48364
0.03	2.44918	3.17943	4.45471
0.04	2.43396	3.15931	4.42585
0.05	2.41876	3.13923	4.39706
0.06	2.4036	3.11921	4.36834
0.07	2.38848	3.09923	4.33969
0.08	2.37339	3.07929	4.31112
0.09	2.35833	3.0594	4.28261
0.1	2.3433	3.03956	4.25418
0.11	2.32831	3.01977	4.22581
0.12	2.31335	3.00002	4.19752
0.13	2.29843	2.98032	4.1693
0.14	2.28354	2.96066	4.14115
0.15	2.26868	2.94105	4.11307
0.16	2.25386	2.92149	4.08506
0.17	2.23907	2.90198	4.05713
0.18	2.22431	2.88251	4.02927
0.19	2.20959	2.86309	4.00148
0.2	2.1949	2.84372	3.97376
0.21	2.18025	2.8244	3.94612
0.22	2.16563	2.80512	3.91855
0.23	2.15105	2.78589	3.89105
0.24	2.1365	2.76671	3.86362
0.25	2.12199	2.74758	3.83627
0.26	2.10751	2.7285	3.80899
0.27	2.09306	2.70946	3.78178
0.28	2.07865	2.69047	3.75464
0.29	2.06428	2.67153	3.72758
0.3	2.04993	2.65264	3.7006
0.31	2.03563	2.63379	3.67368
0.32	2.02136	2.615	3.64684
0.33	2.00712	2.59625	3.62008
0.34	1.99292	2.57755	3.59339
0.35	1.97876	2.5589	3.56677
0.36	1.96463	2.5403	3.54023
0.37	1.95053	2.52175	3.51376
0.38	1.93647	2.50325	3.48737
0.39	1.92245	2.4848	3.46105
0.4	1.90846	2.4664	3.43481
0.41	1.89451	2.44804	3.40864
0.42	1.88059	2.42974	3.38255
0.43	1.86671	2.41148	3.35653
0.44	1.85287	2.39328	3.33059
0.45	1.83906	2.37512	3.30472
0.46	1.82529	2.35702	3.27893
0.47	1.81155	2.33896	3.25322
0.48	1.79785	2.32096	3.22758
0.49	1.78419	2.303	3.20202
0.5	1.77056	2.2851	3.17654
0.51	1.75697	2.26724	3.15113
0.52	1.74342	2.24944	3.1258
0.53	1.7299	2.23169	3.10054
0.54	1.71642	2.21399	3.07536
0.55	1.70298	2.19634	3.05026
0.56	1.68957	2.17874	3.02524
0.57	1.67621	2.16119	3.00029
0.58	1.66287	2.14369	2.97543
0.59	1.64958	2.12625	2.95064
0.6	1.63632	2.10885	2.92593
0.61	1.6231	2.09151	2.90129
0.62	1.60992	2.07422	2.87674
0.63	1.59677	2.05698	2.85226
0.64	1.58367	2.03979	2.82786
0.65	1.5706	2.02266	2.80354
0.66	1.55757	2.00557	2.7793
0.67	1.54457	1.98854	2.75514
0.68	1.53162	1.97157	2.73106
0.69	1.5187	1.95464	2.70706
0.7	1.50582	1.93777	2.68314
0.71	1.49298	1.92095	2.65929
0.72	1.48018	1.90418	2.63553
0.73	1.46742	1.88747	2.61185
0.74	1.45469	1.87081	2.58825
0.75	1.44201	1.8542	2.56473
0.76	1.42936	1.83765	2.54129
0.77	1.41675	1.82115	2.51793
0.78	1.40418	1.8047	2.49465
0.79	1.39165	1.78831	2.47145
0.8	1.37916	1.77197	2.44834
0.81	1.36671	1.75569	2.4253
0.82	1.3543	1.73946	2.40235
0.83	1.34193	1.72328	2.37948
0.84	1.3296	1.70716	2.35669
0.85	1.3173	1.6911	2.33399
0.86	1.30505	1.67509	2.31137
0.87	1.29284	1.65913	2.28883
0.88	1.28067	1.64323	2.26637
0.89	1.26853	1.62739	2.244
0.9	1.25644	1.6116	2.22171
0.91	1.24439	1.59586	2.19951
0.92	1.23238	1.58018	2.17738
0.93	1.22041	1.56456	2.15535
0.94	1.20848	1.549	2.13339
0.95	1.1966	1.53349	2.11153
0.96	1.18475	1.51803	2.08974
0.97	1.17294	1.50264	2.06804
0.98	1.16118	1.4873	2.04643
0.99	1.14946	1.47201	2.0249
1	1.13778	1.45679	2.00346
1.01	1.12614	1.44162	1.98211
1.02	1.11454	1.42651	1.96083
1.03	1.10299	1.41145	1.93965
1.04	1.09147	1.39646	1.91855
1.05	1.08	1.38152	1.89754
1.06	1.06857	1.36664	1.87662
1.07	1.05719	1.35182	1.85578
1.08	1.04585	1.33705	1.83504
1.09	1.03455	1.32235	1.81438
1.1	1.02329	1.3077	1.7938
1.11	1.01208	1.29311	1.77332
1.12	1.0009	1.27859	1.75292
1.13	0.989777	1.26412	1.73262
1.14	0.978693	1.24971	1.7124
1.15	0.967653	1.23536	1.69227
1.16	0.956657	1.22107	1.67223
1.17	0.945704	1.20684	1.65228
1.18	0.934796	1.19267	1.63242
1.19	0.923932	1.17856	1.61266
1.2	0.913113	1.16451	1.59298
1.21	0.902338	1.15053	1.57339
1.22	0.891608	1.1366	1.55389
1.23	0.880923	1.12274	1.53449
1.24	0.870283	1.10893	1.51518
1.25	0.859688	1.09519	1.49596
1.26	0.849139	1.08151	1.47683
1.27	0.838635	1.06789	1.45779
1.28	0.828177	1.05434	1.43885
1.29	0.817766	1.04085	1.42
1.3	0.8074	1.02742	1.40125
