x	y
0.2	1.99665
0.21	2.00779
0.22	2.0185
0.23	2.02879
0.24	2.03868
0.25	2.04815
0.26	2.05721
0.27	2.06587
0.28	2.07413
0.29	2.08199
0.3	2.08945
0.31	2.09653
0.32	2.10321
0.33	2.10951
0.34	2.11543
0.35	2.12098
0.36	2.12614
0.37	2.13094
0.38	2.13537
0.39	2.13943
0.4	2.14313
0.41	2.14647
0.42	2.14946
0.43	2.15209
0.44	2.15438
0.45	2.15632
0.46	2.15791
0.47	2.15917
0.48	2.16009
0.49	2.16068
0.5	2.16094
0.51	2.16088
0.52	2.16049
0.53	2.15978
0.54	2.15876
0.55	2.15742
0.56	2.15577
0.57	2.15382
0.58	2.15156
0.59	2.149
0.6	2.14615
0.61	2.143
0.62	2.13957
0.63	2.13584
0.64	2.13183
0.65	2.12754
0.66	2.12298
0.67	2.11814
0.68	2.11303
0.69	2.10765
0.7	2.10201
0.71	2.0961
0.72	2.08994
0.73	2.08353
0.74	2.07686
0.75	2.06994
0.76	2.06278
0.77	2.05538
0.78	2.04774
0.79	2.03987
0.8	2.03176
0.81	2.02343
0.82	2.01487
0.83	2.00609
0.84	1.99709
0.85	1.98788
0.86	1.97845
0.87	1.96881
0.88	1.95897
0.89	1.94893
0.9	1.93868
0.91	1.92824
0.92	1.91761
0.93	1.90679
0.94	1.89579
0.95	1.8846
0.96	1.87323
0.97	1.86168
0.98	1.84996
0.99	1.83807
1	1.82602
1.01	1.8138
1.02	1.80142
1.03	1.78889
1.04	1.7762
1.05	1.76336
1.06	1.75037
1.07	1.73724
1.08	1.72397
1.09	1.71057
1.1	1.69703
1.11	1.68335
1.12	1.66955
1.13	1.65563
1.14	1.64159
1.15	1.62742
1.16	1.61315
1.17	1.59876
1.18	1.58426
1.19	1.56966
1.2	1.55496
1.21	1.54016
1.22	1.52527
1.23	1.51028
1.24	1.4952
1.25	1.48004
1.26	1.4648
1.27	1.44948
1.28	1.43408
1.29	1.41862
1.3	1.40308
1.31	1.38748
1.32	1.37181
1.33	1.35609
1.34	1.34031
1.35	1.32447
1.36	1.30859
1.37	1.29266
1.38	1.27669
1.39	1.26068
1.4	1.24464
1.41	1.22856
1.42	1.21245
1.43	1.19631
1.44	1.18015
1.45	1.16397
1.46	1.14778
1.47	1.13157
1.48	1.11535
1.49	1.09912
1.5	1.08289
1.51	1.06666
1.52	1.05043
1.53	1.03421
1.54	1.018
1.55	1.0018
1.56	0.985612
1.57	0.969447
1.58	0.953304
1.59	0.937186
1.6	0.921097
1.61	0.90504
1.62	0.889019
1.63	0.873036
1.64	0.857095
1.65	0.841199
1.66	0.825352
1.67	0.809556
1.68	0.793815
1.69	0.778132
1.7	0.76251
1.71	0.746954
1.72	0.731465
1.73	0.716047
1.74	0.700703
1.75	0.685437
1.76	0.670252
1.77	0.655152
1.78	0.640138
1.79	0.625216
1.8	0.610387
1.81	0.595656
1.82	0.581025
1.83	0.566497
1.84	0.552077
1.85	0.537767
1.86	0.52357
1.87	0.50949
1.88	0.49553
1.89	0.481694
1.9	0.467983
1.91	0.454403
1.92	0.440955
1.93	0.427644
1.94	0.414473
1.95	0.401444
1.96	0.388561
1.97	0.375827
1.98	0.363246
1.99	0.350821
2	0.338555
2.01	0.326451
2.02	0.314513
2.03	0.302743
2.04	0.291146
2.05	0.279724
2.06	0.26848
2.07	0.257419
2.08	0.246542
2.09	0.235854
2.1	0.225358
2.11	0.215056
2.12	0.204952
2.13	0.19505
2.14	0.185353
2.15	0.175863
2.16	0.166585
2.17	0.157521
2.18	0.148674
2.19	0.140049
2.2	0.131648
2.21	0.123474
2.22	0.115531
2.23	0.107821
2.24	0.100349
2.25	0.0931177
2.26	0.0861298
2.27	0.0793889
2.28	0.0728983
2.29	0.0666611
2.3	0.0606806
2.31	0.0549602
2.32	0.049503
2.33	0.0443122
2.34	0.0393913
2.35	0.0347433
2.36	0.0303717
2.37	0.0262795
2.38	0.0224702
2.39	0.0189468
2.4	0.0157128
2.41	0.0127713
2.42	0.0101257
2.43	0.00777905
2.44	0.00573476
2.45	0.00399604
2.46	0.00256615
2.47	0.00144834
2.48	0.000645878
2.49	0.000162012
2.5	0
2.51	0.000163097
2.52	0.00065456
2.53	0.00147764
2.54	0.00263561
2.55	0.0041317
2.56	0.00596918
2.57	0.00815131
2.58	0.0106813
2.59	0.0135625
2.6	0.0167981
2.61	0.0203914
2.62	0.0243456
2.63	0.028664
2.64	0.0333498
2.65	0.0384063
2.66	0.0438367
2.67	0.0496444
2.68	0.0558325
2.69	0.0624043
2.7	0.0693631
2.71	0.0767122
2.72	0.0844547
2.73	0.0925939
2.74	0.101133
2.75	0.110076
2.76	0.119425
2.77	0.129183
2.78	0.139355
2.79	0.149943
2.8	0.160951
