x	y1	y2	y3	y4	y5
0,7	0,00589	0,0048	0,00108	0,00299	-0,00312
0,71412	0,00838	0,00631	0,00285	0,00418	0,00074
0,74667	0,01423	0,00979	0,00692	0,00692	0,0088
0,77233	0,01902	0,01262	0,01012	0,00908	0,01471
0,84111	0,03325	0,02103	0,01881	0,01493	0,03155
0,88667	0,04405	0,02776	0,02473	0,01892	0,04571
0,92498	0,05409	0,0345	0,02989	0,0224	0,05919
0,94165	0,05877	0,03782	0,03219	0,02396	0,06525
1,05333	0,09699	0,06818	0,04939	0,03542	0,10754
1,10333	0,11962	0,08617	0,05879	0,04145	0,12771
1,11333	0,12474	0,09002	0,0609	0,04276	0,13191
1,12684	0,13203	0,09535	0,0639	0,04461	0,13774
1,14801	0,14433	0,10395	0,06898	0,04768	0,14738
1,23796	0,20744	0,14332	0,09636	0,06349	0,20521
1,31333	0,26928	0,17966	0,12332	0,08017	0,26478
1,32	0,27489	0,18303	0,12566	0,08178	0,27013
1,34667	0,29737	0,19677	0,13487	0,08841	0,29168
1,39141	0,33523	0,22088	0,15007	0,10014	0,32838
1,47078	0,40284	0,26752	0,17745	0,12252	0,39658
1,50782	0,43461	0,29144	0,19086	0,13357	0,4313
1,51333	0,43935	0,29513	0,19291	0,13525	0,43673
1,59248	0,50942	0,35177	0,22468	0,16025	0,52075
1,59667	0,51335	0,35495	0,22653	0,16162	0,52529
1,67185	0,59162	0,41505	0,26374	0,18714	0,59992
1,68244	0,60411	0,42392	0,26961	0,19088	0,6085
1,75	0,6906	0,4824	0,31018	0,21578	0,65127
1,75122	0,69224	0,48348	0,31095	0,21625	0,65197
1,77768	0,72789	0,50706	0,32785	0,22656	0,66753
1,81667	0,78059	0,54239	0,35297	0,2424	0,69244
1,83059	0,79922	0,55519	0,36188	0,24824	0,70158
1,89938	0,88868	0,62004	0,40605	0,27867	0,74513
1,98404	0,99331	0,70454	0,46372	0,32001	0,79064
2,02637	1,04132	0,74945	0,49501	0,34249	0,81259
2,05283	1,06757	0,77848	0,51563	0,35722	0,82691
2,06	1,0744	0,78647	0,52138	0,3613	0,83082
2,06333	1,07762	0,79019	0,52407	0,36322	0,83263
2,15336	1,18027	0,89356	0,60185	0,41828	0,87498
2,25333	1,30627	1,00805	0,69713	0,48457	0,8998
2,28036	1,34098	1,0387	0,72414	0,50228	0,90388
2,29094	1,35463	1,0507	0,73485	0,50918	0,90528
2,33	1,40517	1,09506	0,77494	0,53497	0,90929
2,41793	1,51978	1,19612	0,8683	0,59859	0,90857
2,43333	1,53995	1,21405	0,88507	0,61104	0,90738
2,54	1,68012	1,34001	1,00352	0,70824	0,8955
2,58725	1,74245	1,39666	1,05635	0,7556	0,88818
2,61	1,77249	1,42409	1,08162	0,779	0,88338
2,65075	1,82638	1,47342	1,12642	0,82164	0,8645
2,71667	1,91368	1,55373	1,1972	0,89275	0,82942
2,7407	1,94555	1,58314	1,22242	0,91894	0,81715
