x	y
0.5	0.0128613
0.51	0.0234839
0.52	0.0341416
0.53	0.044854
0.54	0.0556408
0.55	0.0665214
0.56	0.0775155
0.57	0.0886427
0.58	0.0999224
0.59	0.111374
0.6	0.123018
0.61	0.134873
0.62	0.146959
0.63	0.159295
0.64	0.171902
0.65	0.184798
0.66	0.198003
0.67	0.211537
0.68	0.225419
0.69	0.239669
0.7	0.254307
0.71	0.269351
0.72	0.28481
0.73	0.30069
0.74	0.316993
0.75	0.333722
0.76	0.350883
0.77	0.368479
0.78	0.386513
0.79	0.40499
0.8	0.423912
0.81	0.443284
0.82	0.46311
0.83	0.483393
0.84	0.504138
0.85	0.525347
0.86	0.547025
0.87	0.569176
0.88	0.591803
0.89	0.614909
0.9	0.6385
0.91	0.662574
0.92	0.687114
0.93	0.712094
0.94	0.73748
0.95	0.763223
0.96	0.789273
0.97	0.815582
0.98	0.8421
0.99	0.868778
1	0.895568
1.01	0.922421
1.02	0.949286
1.03	0.976116
1.04	1.00286
1.05	1.02947
1.06	1.0559
1.07	1.0821
1.08	1.10801
1.09	1.1336
1.1	1.15881
1.11	1.18362
1.12	1.20801
1.13	1.23197
1.14	1.25548
1.15	1.27851
1.16	1.30106
1.17	1.3231
1.18	1.34461
1.19	1.36559
1.2	1.386
1.21	1.40584
1.22	1.42509
1.23	1.44372
1.24	1.46173
1.25	1.47909
1.26	1.49578
1.27	1.5118
1.28	1.52714
1.29	1.5418
1.3	1.55577
1.31	1.56904
1.32	1.58162
1.33	1.59349
1.34	1.60466
1.35	1.61512
1.36	1.62486
1.37	1.63388
1.38	1.64218
1.39	1.64975
1.4	1.65659
1.41	1.66269
1.42	1.66805
1.43	1.6727
1.44	1.67664
1.45	1.6799
1.46	1.68249
1.47	1.68442
1.48	1.68572
1.49	1.68639
1.5	1.68646
1.51	1.68594
1.52	1.68485
1.53	1.6832
1.54	1.681
1.55	1.67829
1.56	1.67507
1.57	1.67135
1.58	1.66716
1.59	1.6625
1.6	1.65738
1.61	1.6518
1.62	1.64578
1.63	1.63931
1.64	1.63241
1.65	1.62507
1.66	1.61731
1.67	1.60913
1.68	1.60054
1.69	1.59153
1.7	1.58213
1.71	1.57233
1.72	1.56213
1.73	1.55156
1.74	1.5406
1.75	1.52928
1.76	1.51758
1.77	1.50553
1.78	1.49315
1.79	1.48045
1.8	1.46744
1.81	1.45415
1.82	1.44059
1.83	1.42678
1.84	1.41274
1.85	1.39848
1.86	1.38402
1.87	1.36938
1.88	1.35458
1.89	1.33964
1.9	1.32458
1.91	1.30943
1.92	1.29419
1.93	1.27891
1.94	1.26359
1.95	1.24826
1.96	1.23293
1.97	1.21758
1.98	1.20223
1.99	1.18688
2	1.17152
