x	y
0.5	0.0128613
0.51	0.0141499
0.52	0.0154736
0.53	0.016852
0.54	0.0183048
0.55	0.0198514
0.56	0.0215115
0.57	0.0233047
0.58	0.0252504
0.59	0.0273683
0.6	0.029678
0.61	0.032199
0.62	0.0349508
0.63	0.0379532
0.64	0.0412256
0.65	0.0447876
0.66	0.0486588
0.67	0.0528587
0.68	0.057407
0.69	0.0623232
0.7	0.0676269
0.71	0.0733368
0.72	0.0794625
0.73	0.0860078
0.74	0.0929765
0.75	0.100372
0.76	0.108199
0.77	0.116461
0.78	0.125161
0.79	0.134304
0.8	0.143892
0.81	0.15393
0.82	0.164422
0.83	0.175371
0.84	0.186782
0.85	0.198657
0.86	0.211001
0.87	0.223818
0.88	0.237111
0.89	0.250883
0.9	0.26514
0.91	0.27988
0.92	0.295086
0.93	0.310732
0.94	0.326784
0.95	0.343193
0.96	0.359909
0.97	0.376884
0.98	0.394068
0.99	0.411412
1	0.428868
1.01	0.446387
1.02	0.463918
1.03	0.481414
1.04	0.498826
1.05	0.516103
1.06	0.533198
1.07	0.550061
1.08	0.566643
1.09	0.582895
1.1	0.598772
1.11	0.614248
1.12	0.629307
1.13	0.64393
1.14	0.6581
1.15	0.6718
1.16	0.685012
1.17	0.697717
1.18	0.7099
1.19	0.721541
1.2	0.732623
1.21	0.743129
1.22	0.753042
1.23	0.762343
1.24	0.771015
1.25	0.77904
1.26	0.786401
1.27	0.793087
1.28	0.799093
1.29	0.804415
1.3	0.809048
1.31	0.812989
1.32	0.816231
1.33	0.818772
1.34	0.820607
1.35	0.82173
1.36	0.822138
1.37	0.821827
1.38	0.820791
1.39	0.819026
1.4	0.816529
1.41	0.813293
1.42	0.809325
1.43	0.804637
1.44	0.799247
1.45	0.79317
1.46	0.786424
1.47	0.779023
1.48	0.770985
1.49	0.762325
1.5	0.75306
1.51	0.743206
1.52	0.732778
1.53	0.721794
1.54	0.710269
1.55	0.698219
1.56	0.685661
1.57	0.672611
1.58	0.659085
1.59	0.645092
1.6	0.630638
1.61	0.615729
1.62	0.600371
1.63	0.58457
1.64	0.568332
1.65	0.551662
1.66	0.534567
1.67	0.517052
1.68	0.499123
1.69	0.480787
1.7	0.462048
1.71	0.442912
1.72	0.423387
1.73	0.403477
1.74	0.383188
1.75	0.362526
1.76	0.341498
1.77	0.320117
1.78	0.298398
1.79	0.27636
1.8	0.25402
1.81	0.231395
1.82	0.208502
1.83	0.185358
1.84	0.161982
1.85	0.138388
1.86	0.114596
1.87	0.0906231
1.88	0.0664885
1.89	0.0422141
1.9	0.0178214
