t	u	v	x	y
0	-0.0069	0.0891	-0.1039	-0.1398
0.00306234	-0.00703558	0.0894812	-0.104327	-0.139482
0.00612467	-0.00717683	0.0898618	-0.104754	-0.139163
0.00918701	-0.00732262	0.0902417	-0.105179	-0.138842
0.0166277	-0.00768848	0.0911622	-0.106209	-0.138058
0.0240683	-0.00806747	0.0920787	-0.107233	-0.137266
0.031509	-0.00845475	0.0929909	-0.108251	-0.136466
0.0389496	-0.00884742	0.0938989	-0.109264	-0.135659
0.0553016	-0.00972332	0.0958786	-0.111467	-0.133857
0.0716537	-0.0106154	0.0978367	-0.113641	-0.132019
0.0880057	-0.0115229	0.0997726	-0.115784	-0.130143
0.104358	-0.0124458	0.101686	-0.117897	-0.128232
0.248794	-0.0212837	0.117515	-0.135075	-0.109935
0.39323	-0.0311946	0.131306	-0.149431	-0.0893154
0.537667	-0.0419535	0.142864	-0.160682	-0.0668205
0.649275	-0.0507845	0.150164	-0.167108	-0.0484393
0.760884	-0.0598834	0.155966	-0.171454	-0.0294807
0.843754	-0.0668001	0.159279	-0.173304	-0.0151622
0.908929	-0.0723033	0.161278	-0.173924	-0.00383539
0.934908	-0.074506	0.161925	-0.173965	0.000685337
0.960888	-0.0767126	0.162486	-0.173888	0.00520223
0.986868	-0.0789216	0.162961	-0.173695	0.00971256
1.01285	-0.0811325	0.16335	-0.173384	0.0142135
1.10365	-0.0888541	0.164032	-0.171384	0.0298283
1.19445	-0.0965285	0.163665	-0.167978	0.0451661
1.28526	-0.104104	0.16226	-0.163196	0.0601032
1.37606	-0.111543	0.159831	-0.157081	0.0745208
1.46686	-0.118815	0.156399	-0.149684	0.0883065
1.72915	-0.138455	0.141157	-0.121778	0.123674
1.99144	-0.155379	0.118707	-0.0856661	0.150692
2.25373	-0.168795	0.0902553	-0.0437431	0.167572
2.51602	-0.177995	0.0573219	0.00117	0.173104
2.77831	-0.182251	0.0217162	0.0460086	0.166775
2.98852	-0.181661	-0.00737355	0.0797935	0.15327
3.19874	-0.177261	-0.0356843	0.110009	0.132895
3.40895	-0.168878	-0.0619825	0.135302	0.106591
3.61916	-0.156506	-0.0850108	0.154553	0.0755952
3.82938	-0.140281	-0.10353	0.166924	0.0413669
4.06823	-0.11773	-0.117656	0.172013	0.000557073
4.30709	-0.0918445	-0.123088	0.167331	-0.0400659
4.5047	-0.0693419	-0.12035	0.156245	-0.0719404
4.70232	-0.0474989	-0.111005	0.139114	-0.101009
4.89993	-0.0280662	-0.0955014	0.116604	-0.126246
5.09755	-0.0125178	-0.074768	0.0895606	-0.146746
5.14805	-0.00929203	-0.068766	0.0820345	-0.151123
5.19855	-0.00631999	-0.0625344	0.0742986	-0.15513
5.24905	-0.00360575	-0.0560911	0.0663712	-0.158754
5.29956	-0.00118897	-0.0494542	0.0582709	-0.161987
5.33973	0.000517204	-0.0440515	0.0517177	-0.164271
5.3799	0.00203955	-0.0385521	0.0450787	-0.166296
5.42007	0.00338359	-0.0329665	0.038364	-0.16806
5.46024	0.0045501	-0.0273054	0.0315838	-0.169557
5.5491	0.00651282	-0.0145806	0.0164214	-0.171906
5.62013	0.00746904	-0.00425294	0.00418505	-0.172821
5.64556	0.00767978	-0.000530172	-0.000212147	-0.172939
5.67099	0.00782326	0.00319892	-0.00461045	-0.172945
5.69642	0.00790229	0.00693204	-0.00900725	-0.172839
5.72185	0.00791866	0.0106669	-0.0133998	-0.17262
5.78536	0.00768142	0.0199798	-0.0243253	-0.171585
