t	u	v	x	y
0.00306234	-0.00703558	0.0894812	-0.104327	-0.139482
0.00918701	-0.00732262	0.0902417	-0.105179	-0.138842
0.0240683	-0.00806747	0.0920787	-0.107233	-0.137266
0.0389496	-0.00884742	0.0938989	-0.109264	-0.135659
0.0716537	-0.0106154	0.0978367	-0.113641	-0.132019
0.104358	-0.0124458	0.101686	-0.117897	-0.128232
0.39323	-0.0311946	0.131306	-0.149431	-0.0893154
0.649275	-0.0507845	0.150164	-0.167108	-0.0484393
0.843754	-0.0668001	0.159279	-0.173304	-0.0151622
0.934908	-0.074506	0.161925	-0.173965	0.000685337
0.986868	-0.0789216	0.162961	-0.173695	0.00971256
1.10365	-0.0888541	0.164032	-0.171384	0.0298283
1.28526	-0.104104	0.16226	-0.163196	0.0601032
1.46686	-0.118815	0.156399	-0.149684	0.0883065
1.99144	-0.155379	0.118707	-0.0856661	0.150692
2.51602	-0.177995	0.0573219	0.00117	0.173104
2.98852	-0.181661	-0.00737355	0.0797935	0.15327
3.40895	-0.168878	-0.0619825	0.135302	0.106591
3.82938	-0.140281	-0.10353	0.166924	0.0413669
4.30709	-0.0918445	-0.123088	0.167331	-0.0400659
4.70232	-0.0474989	-0.111005	0.139114	-0.101009
5.09755	-0.0125178	-0.074768	0.0895606	-0.146746
5.19855	-0.00631999	-0.0625344	0.0742986	-0.15513
5.29956	-0.00118897	-0.0494542	0.0582709	-0.161987
5.3799	0.00203955	-0.0385521	0.0450787	-0.166296
5.46024	0.0045501	-0.0273054	0.0315838	-0.169557
5.62013	0.00746904	-0.00425294	0.00418505	-0.172821
5.67099	0.00782326	0.00319892	-0.00461045	-0.172945
5.72185	0.00791866	0.0106669	-0.0133998	-0.17262
5.84886	0.00704748	0.0292504	-0.035162	-0.169852
5.97586	0.00464074	0.0475207	-0.0563962	-0.164309
6.14508	-0.000760554	0.0709053	-0.0832818	-0.15273
6.3143	-0.00844255	0.0926285	-0.107828	-0.136644
6.57108	-0.0237524	0.12123	-0.139005	-0.104719
6.91543	-0.0493345	0.149062	-0.166178	-0.0513385
7.25977	-0.0780505	0.162746	-0.17375	0.00792636
7.72957	-0.117149	0.157301	-0.151531	0.0853073
8.19937	-0.150869	0.125857	-0.0967494	0.14397
8.70271	-0.175183	0.0698182	-0.0154404	0.172419
9.23959	-0.181962	-0.00304298	0.0748829	0.155635
9.77648	-0.164254	-0.071732	0.143744	0.0943918
10.3535	-0.117213	-0.117618	0.171722	-9.52531e-05
10.8308	-0.0642736	-0.11851	0.152535	-0.0786089
11.2523	-0.0223989	-0.0882944	0.107082	-0.13384
11.3539	-0.014635	-0.0773696	0.0929417	-0.144048
11.4556	-0.00797471	-0.0653577	0.0778427	-0.152827
11.5433	-0.00321663	-0.054239	0.0641444	-0.159183
11.6311	0.000650774	-0.0425537	0.0499415	-0.164349
11.7396	0.00422745	-0.0275011	0.031848	-0.169024
11.8481	0.00652005	-0.0119709	0.0133529	-0.171745
12.1038	0.00707808	0.0253667	-0.0306001	-0.1702
12.3595	0.00143092	0.0617127	-0.0727293	-0.157443
12.6152	-0.00967098	0.0948165	-0.110228	-0.134147
12.9849	-0.0331685	0.133227	-0.151283	-0.0851166
13.4685	-0.0718784	0.160851	-0.173563	-0.0046941
13.9521	-0.112592	0.15923	-0.156012	0.0762369
14.4501	-0.148751	0.128406	-0.10094	0.140783
14.948	-0.173889	0.0742766	-0.021604	0.171549
15.3501	-0.182116	0.0206219	0.0472249	0.1661
15.7522	-0.177395	-0.0342004	0.10839	0.133835
16.2156	-0.154143	-0.0879914	0.156617	0.0703555
16.6839	-0.112208	-0.119303	0.17139	-0.00835317
17.096	-0.0662767	-0.119036	0.153742	-0.0759532
17.5081	-0.0247123	-0.0908752	0.110525	-0.13087
17.5562	-0.0207112	-0.0860211	0.104108	-0.136035
17.5992	-0.0173568	-0.0814454	0.0981676	-0.140396
17.6422	-0.014226	-0.0766606	0.092045	-0.144507
17.7407	-0.00784834	-0.0649847	0.077387	-0.152948
17.8392	-0.00261432	-0.0524512	0.0619679	-0.159955
17.9575	0.00220406	-0.0365034	0.042652	-0.166374
18.0758	0.00546368	-0.0198389	0.0227106	-0.170518
18.257	0.007562	0.00645991	-0.00841879	-0.172287
18.4381	0.00636871	0.0328822	-0.0393638	-0.168402
18.6964	-0.000576398	0.0690584	-0.0811326	-0.15324
18.8321	-0.00640168	0.0866978	-0.101134	-0.140965
18.9679	-0.0135772	0.103012	-0.119284	-0.126005
19.1958	-0.0281151	0.12674	-0.144667	-0.09568
19.5158	-0.0523995	0.150779	-0.167402	-0.0450136
19.8359	-0.0791181	0.162475	-0.17306	0.0100557
20.2386	-0.11273	0.158845	-0.155387	0.0767314
20.6414	-0.142797	0.135787	-0.11305	0.130858
21.1218	-0.169521	0.0874053	-0.0399304	0.167806
21.6798	-0.182069	0.0139982	0.0549541	0.163151
22.2378	-0.169298	-0.0596515	0.13284	0.108349
22.8328	-0.125476	-0.113144	0.170463	0.0142999
23.0602	-0.101851	-0.121287	0.169218	-0.0245178
23.2876	-0.0764992	-0.121043	0.159366	-0.0618233
23.5508	-0.0474693	-0.109926	0.137836	-0.100884
23.85	-0.0198093	-0.0843701	0.102014	-0.136929
24.0956	-0.00412193	-0.0554114	0.0656391	-0.157862
24.1801	-0.000301502	-0.0442768	0.052078	-0.162986
24.2219	0.00130201	-0.0386055	0.0452249	-0.165102
24.2855	0.00336628	-0.0297988	0.0346419	-0.16778
24.3709	0.00543915	-0.0177042	0.0202035	-0.170326
24.5166	0.00718223	0.00338239	-0.00476307	-0.17183
24.7226	0.006009	0.033343	-0.0398694	-0.167735
24.9286	0.000895119	0.0623232	-0.073386	-0.156421
25.2218	-0.0122908	0.0996326	-0.115506	-0.128765
25.5149	-0.0309841	0.129874	-0.147786	-0.0897486
25.8987	-0.0608361	0.155504	-0.170637	-0.0275655
26.3731	-0.100674	0.16217	-0.164517	0.0533199
26.8475	-0.137564	0.141149	-0.122237	0.121919
27.3811	-0.168411	0.0897689	-0.0434121	0.166559
27.9146	-0.181754	0.0202924	0.0473089	0.165161
28.4482	-0.172212	-0.0509825	0.124597	0.117296
29.0542	-0.131023	-0.10945	0.168932	0.024367
29.2638	-0.110212	-0.119137	0.170289	-0.0113346
29.4733	-0.0872468	-0.121922	0.16422	-0.0463736
29.6829	-0.0638528	-0.11737	0.151004	-0.0792883
29.9024	-0.0403464	-0.104828	0.130147	-0.110049
30.0958	-0.022837	-0.0878029	0.106576	-0.132953
30.2892	-0.00912332	-0.0662253	0.0790237	-0.15108
30.4929	0.000759072	-0.0399255	0.0468391	-0.164255
30.6767	0.00568829	-0.0141775	0.0160319	-0.170465
30.791	0.00694204	0.00234732	-0.00352277	-0.171475
30.8867	0.00698454	0.0162667	-0.0198912	-0.170601
31.0163	0.00561334	0.0350006	-0.0417779	-0.16691
31.1629	0.00220782	0.0556662	-0.0657086	-0.159311
31.2925	-0.00232708	0.0731617	-0.0857447	-0.149665
