t	u	v	x	y
0.0100651	-0.28387	0.0852551	0.0852551	0.0852551
0.0301953	-0.283781	0.0851654	0.0851654	0.0851654
0.110293	-0.283352	0.0848091	0.0848091	0.0848091
0.19039	-0.282796	0.0844542	0.0844542	0.0844542
0.50273	-0.279431	0.0830906	0.0830906	0.0830906
0.815071	-0.274214	0.0817753	0.0817753	0.0817753
1.3981	-0.259775	0.0795189	0.0795189	0.0795189
2.25182	-0.228293	0.0769052	0.0769052	0.0769052
3.10554	-0.185307	0.0754381	0.0754381	0.0754381
4.4524	-0.0949545	0.0762897	0.0762897	0.0762897
5.79926	0.026173	0.0822473	0.0822473	0.0822473
6.20332	0.071101	0.0852741	0.0852741	0.0852741
6.32453	0.0869164	0.0863162	0.0863162	0.0863162
6.40333	0.0998196	0.0870342	0.0870342	0.0870342
6.43969	0.107948	0.0873794	0.0873794	0.0873794
6.47606	0.120491	0.0877378	0.0877378	0.0877378
6.50459	0.140285	0.0880349	0.0880349	0.0880349
6.52168	0.166947	0.0882269	0.0882269	0.0882269
6.53272	0.204632	0.0883635	0.0883635	0.0883635
6.54096	0.266476	0.0884797	0.0884797	0.0884797
6.54703	0.366941	0.0885827	0.0885827	0.0885827
6.55311	0.59005	0.0887196	0.0887196	0.0887196
6.55659	0.780929	0.0888252	0.0888252	0.0888252
6.55967	0.917768	0.0889378	0.0889378	0.0889378
6.56276	0.981772	0.0890617	0.0890617	0.0890617
6.56613	1.00247	0.0892017	0.0892017	0.0892017
6.56949	1.00896	0.0893431	0.0893431	0.0893431
6.57286	1.00946	0.0894849	0.0894849	0.0894849
6.57716	1.00954	0.0896659	0.0896659	0.0896659
6.58146	1.01	0.089847	0.089847	0.089847
6.58576	1.00956	0.0900281	0.0900281	0.0900281
6.59182	1.01011	0.0902831	0.0902831	0.0902831
6.59964	1.00923	0.0906122	0.0906122	0.0906122
6.60745	1.00874	0.090941	0.090941	0.090941
6.61527	1.00847	0.0912698	0.0912698	0.0912698
6.63062	1.00774	0.0919155	0.0919155	0.0919155
6.64597	1.00709	0.0925608	0.0925608	0.0925608
6.7233	1.00357	0.0958046	0.0958046	0.0958046
6.86258	0.996723	0.101622	0.101622	0.101622
6.95194	0.991947	0.105336	0.105336	0.105336
7.0413	0.986802	0.109033	0.109033	0.109033
7.32039	0.967623	0.120463	0.120463	0.120463
7.59948	0.941295	0.131668	0.131668	0.131668
8.02362	0.870871	0.147999	0.147999	0.147999
8.19437	0.813089	0.154176	0.154176	0.154176
8.28314	0.755908	0.157202	0.157202	0.157202
8.32411	0.696407	0.158515	0.158515	0.158515
8.3364	0.660079	0.158886	0.158886	0.158886
8.3487	0.584212	0.159235	0.159235	0.159235
8.35573	0.481532	0.159412	0.159412	0.159412
8.36188	0.271696	0.159533	0.159533	0.159533
8.36519	0.088615	0.159574	0.159574	0.159574
8.36565	0.0603267	0.159578	0.159578	0.159578
8.36634	0.0191124	0.159583	0.159583	0.159583
8.36724	-0.0321983	0.159588	0.159588	0.159588
8.36815	-0.0774551	0.159591	0.159591	0.159591
8.36958	-0.133247	0.159594	0.159594	0.159594
8.37101	-0.170571	0.159594	0.159594	0.159594
8.37283	-0.1979	0.159592	0.159592	0.159592
8.37505	-0.213209	0.159589	0.159589	0.159589
8.37727	-0.21947	0.159584	0.159584	0.159584
8.38019	-0.222358	0.159578	0.159578	0.159578
8.38312	-0.22332	0.159571	0.159571	0.159571
8.38605	-0.223916	0.159564	0.159564	0.159564
8.39087	-0.224538	0.159553	0.159553	0.159553
8.3957	-0.225047	0.159542	0.159542	0.159542
8.41077	-0.226628	0.159506	0.159506	0.159506
8.43609	-0.229277	0.159444	0.159444	0.159444
8.5221	-0.238075	0.159216	0.159216	0.159216
8.6688	-0.252329	0.158766	0.158766	0.158766
8.979	-0.279479	0.15758	0.15758	0.15758
9.45267	-0.313523	0.15524	0.15524	0.15524
9.92635	-0.339119	0.152392	0.152392	0.152392
10.715	-0.364583	0.146895	0.146895	0.146895
11.4344	-0.371476	0.141476	0.141476	0.141476
11.9134	-0.368069	0.13785	0.13785	0.13785
12.3924	-0.359719	0.134327	0.134327	0.134327
12.998	-0.342143	0.130151	0.130151	0.130151
13.7303	-0.312015	0.125726	0.125726	0.125726
14.4626	-0.27319	0.122212	0.122212	0.122212
15.8263	-0.180979	0.118817	0.118817	0.118817
16.9967	-0.0868502	0.119884	0.119884	0.119884
17.4923	-0.0481739	0.121539	0.121539	0.121539
17.7376	-0.0318143	0.122601	0.122601	0.122601
17.9829	-0.0193334	0.123791	0.123791	0.123791
18.3566	-0.0121907	0.125748	0.125748	0.125748
18.5104	-0.0143358	0.126562	0.126562	0.126562
18.6643	-0.0193821	0.127356	0.127356	0.127356
18.8741	-0.0301756	0.12838	0.12838	0.12838
19.084	-0.0443281	0.129309	0.129309	0.129309
19.402	-0.0696631	0.130492	0.130492	0.130492
19.8283	-0.106794	0.131597	0.131597	0.131597
20.2545	-0.144093	0.132127	0.132127	0.132127
20.7994	-0.188901	0.131992	0.131992	0.131992
21.3444	-0.228447	0.131028	0.131028	0.131028
22.0248	-0.268481	0.128839	0.128839	0.128839
22.8407	-0.301672	0.125125	0.125125	0.125125
23.6567	-0.318654	0.120675	0.120675	0.120675
24.4247	-0.320826	0.116228	0.116228	0.116228
25.0425	-0.313807	0.112716	0.112716	0.112716
25.6602	-0.299863	0.109438	0.109438	0.109438
26.5766	-0.26791	0.105317	0.105317	0.105317
