t	u	v	x	y
0.00129791	0.0791793	-0.00612796	-0.00612796	-0.00612796
0.00389373	0.0829101	-0.00594416	-0.00594416	-0.00594416
0.00952057	0.0932175	-0.00552762	-0.00552762	-0.00552762
0.0151474	0.108987	-0.00507529	-0.00507529	-0.00507529
0.0211308	0.13952	-0.00452847	-0.00452847	-0.00452847
0.0255915	0.187353	-0.00403616	-0.00403616	-0.00403616
0.0287824	0.26057	-0.00358959	-0.00358959	-0.00358959
0.0312314	0.377598	-0.00313297	-0.00313297	-0.00313297
0.0336804	0.608405	-0.00246889	-0.00246889	-0.00246889
0.0352748	0.803895	-0.0018585	-0.0018585	-0.0018585
0.0368693	0.936611	-0.00111115	-0.00111115	-0.00111115
0.0384638	0.982819	-0.000293156	-0.000293156	-0.000293156
0.0401492	0.994493	0.000592309	0.000592309	0.000592309
0.0419257	0.997305	0.00153054	0.00153054	0.00153054
0.0437022	0.99684	0.00246952	0.00246952	0.00246952
0.0484857	0.994479	0.00499462	0.00499462	0.00499462
0.0532693	0.992218	0.00751401	0.00751401	0.00751401
0.0610874	0.987898	0.0116187	0.0116187	0.0116187
0.0719402	0.982047	0.0172892	0.0172892	0.0172892
0.127565	0.949877	0.0458214	0.0458214	0.0458214
0.227961	0.879722	0.0947958	0.0947958	0.0947958
0.293219	0.815775	0.124432	0.124432	0.124432
0.323338	0.773497	0.137312	0.137312	0.137312
0.354145	0.697313	0.149624	0.149624	0.149624
0.363594	0.645474	0.153093	0.153093	0.153093
0.369719	0.569435	0.155152	0.155152	0.155152
0.373132	0.469707	0.156151	0.156151	0.156151
0.375569	0.315725	0.156712	0.156712	0.156712
0.377086	0.150628	0.156938	0.156938	0.156938
0.377682	0.0706061	0.156989	0.156989	0.156989
0.378278	-0.0111528	0.157016	0.157016	0.157016
0.379053	-0.10757	0.157016	0.157016	0.157016
0.379828	-0.180224	0.156982	0.156982	0.156982
0.380604	-0.226386	0.156926	0.156926	0.156926
0.381579	-0.256781	0.156836	0.156836	0.156836
0.382555	-0.270021	0.156737	0.156737	0.156737
0.383531	-0.275268	0.156633	0.156633	0.156633
0.385517	-0.27789	0.156417	0.156417	0.156417
0.387503	-0.277981	0.1562	0.1562	0.1562
0.389489	-0.277737	0.155984	0.155984	0.155984
0.39228	-0.277307	0.15568	0.15568	0.15568
0.395876	-0.276601	0.15529	0.15529	0.15529
0.399472	-0.275942	0.154901	0.154901	0.154901
0.408701	-0.274235	0.153909	0.153909	0.153909
0.423563	-0.271412	0.152327	0.152327	0.152327
0.438426	-0.268638	0.150767	0.150767	0.150767
0.482298	-0.260336	0.146281	0.146281	0.146281
0.526171	-0.251983	0.141978	0.141978	0.141978
0.667746	-0.224495	0.129356	0.129356	0.129356
0.907023	-0.176434	0.112534	0.112534	0.112534
1.1463	-0.126624	0.101564	0.101564	0.101564
1.50123	-0.0514597	0.0964188	0.0964188	0.0964188
1.66083	-0.0203318	0.0983627	0.0983627	0.0983627
1.73673	-0.00758908	0.100116	0.100116	0.100116
1.81263	0.00285303	0.102311	0.102311	0.102311
1.88963	0.0101295	0.104883	0.104883	0.104883
1.96663	0.0135863	0.107662	0.107662	0.107662
2.04906	0.0136659	0.110707	0.110707	0.110707
2.13691	0.0112971	0.113897	0.113897	0.113897
2.22475	0.00776334	0.116953	0.116953	0.116953
2.31441	0.00365689	0.1199	0.1199	0.1199
2.3982	-0.000391296	0.122483	0.122483	0.122483
2.47434	-0.00417984	0.12468	0.12468	0.12468
2.55048	-0.00803389	0.126732	0.126732	0.126732
2.65038	-0.0131641	0.1292	0.1292	0.1292
2.77405	-0.0195929	0.131898	0.131898	0.131898
2.89772	-0.0260786	0.134196	0.134196	0.134196
3.29972	-0.0472573	0.138887	0.138887	0.138887
3.70171	-0.0680964	0.139345	0.139345	0.139345
4.35671	-0.100017	0.131378	0.131378	0.131378
5.26471	-0.137482	0.104345	0.104345	0.104345
6.17271	-0.163891	0.0626971	0.0626971	0.0626971
7.13864	-0.175592	0.00891784	0.00891784	0.00891784
8.1625	-0.163683	-0.048408	-0.048408	-0.048408
9.09631	-0.126604	-0.0891952	-0.0891952	-0.0891952
9.87659	-0.0759139	-0.105859	-0.105859	-0.105859
10.548	-0.0211077	-0.102227	-0.102227	-0.102227
10.7356	-0.00531485	-0.0978342	-0.0978342	-0.0978342
10.8184	0.00150553	-0.0954299	-0.0954299	-0.0954299
10.8646	0.00522899	-0.0939668	-0.0939668	-0.0939668
10.9575	0.0124999	-0.0907668	-0.0907668	-0.0907668
11.0972	0.0226458	-0.0853458	-0.0853458	-0.0853458
11.3089	0.0354724	-0.0758954	-0.0758954	-0.0758954
11.5925	0.047715	-0.0614268	-0.0614268	-0.0614268
11.8762	0.0570891	-0.045456	-0.045456	-0.045456
11.9748	0.0592448	-0.0396253	-0.0396253	-0.0396253
12.0488	0.060107	-0.0351997	-0.0351997	-0.0351997
12.0917	0.0609634	-0.0326122	-0.0326122	-0.0326122
12.1245	0.0622298	-0.0306146	-0.0306146	-0.0306146
12.1536	0.0640085	-0.0288181	-0.0288181	-0.0288181
12.2092	0.0697069	-0.0252957	-0.0252957	-0.0252957
12.2395	0.0753706	-0.023286	-0.023286	-0.023286
12.258	0.0815141	-0.0220109	-0.0220109	-0.0220109
12.2701	0.088769	-0.0211324	-0.0211324	-0.0211324
12.2793	0.0988377	-0.0204249	-0.0204249	-0.0204249
12.2858	0.11155	-0.0198927	-0.0198927	-0.0198927
12.2905	0.127763	-0.019467	-0.019467	-0.019467
12.2941	0.148236	-0.0191138	-0.0191138	-0.0191138
12.2969	0.174076	-0.0188082	-0.0188082	-0.0188082
12.2991	0.206788	-0.018533	-0.018533	-0.018533
12.3009	0.248524	-0.0182746	-0.0182746	-0.0182746
12.3025	0.30772	-0.0179992	-0.0179992	-0.0179992
12.3038	0.381771	-0.0177296	-0.0177296	-0.0177296
12.3052	0.491571	-0.0173989	-0.0173989	-0.0173989
12.3069	0.693793	-0.0168282	-0.0168282	-0.0168282
12.3085	0.86584	-0.0161822	-0.0161822	-0.0161822
12.31	0.958296	-0.0154317	-0.0154317	-0.0154317
12.3114	0.987248	-0.0146806	-0.0146806	-0.0146806
12.3129	0.994603	-0.0139178	-0.0139178	-0.0139178
12.3146	0.995838	-0.0130262	-0.0130262	-0.0130262
12.3163	0.995431	-0.0121344	-0.0121344	-0.0121344
12.3198	0.99377	-0.0102765	-0.0102765	-0.0102765
