t	u	v	x	y
0	-0.2839	0.0853	0.0853	0.0853
0.0100651	-0.28387	0.0852551	0.0852551	0.0852551
0.0201302	-0.283827	0.0852102	0.0852102	0.0852102
0.0301953	-0.283781	0.0851654	0.0851654	0.0851654
0.070244	-0.283582	0.0849871	0.0849871	0.0849871
0.110293	-0.283352	0.0848091	0.0848091	0.0848091
0.150341	-0.28309	0.0846314	0.0846314	0.0846314
0.19039	-0.282796	0.0844542	0.0844542	0.0844542
0.34656	-0.281349	0.0837677	0.0837677	0.0837677
0.50273	-0.279431	0.0830906	0.0830906	0.0830906
0.6589	-0.277049	0.0824256	0.0824256	0.0824256
0.815071	-0.274214	0.0817753	0.0817753	0.0817753
0.971241	-0.270935	0.0811422	0.0811422	0.0811422
1.3981	-0.259775	0.0795189	0.0795189	0.0795189
1.82496	-0.24552	0.078091	0.078091	0.078091
2.25182	-0.228293	0.0769052	0.0769052	0.0769052
2.67868	-0.208196	0.0760064	0.0760064	0.0760064
3.10554	-0.185307	0.0754381	0.0754381	0.0754381
3.77897	-0.14359	0.0753162	0.0753162	0.0753162
4.4524	-0.0949545	0.0762897	0.0762897	0.0762897
5.12583	-0.0386736	0.0785351	0.0785351	0.0785351
5.79926	0.026173	0.0822473	0.0822473	0.0822473
6.00129	0.0477679	0.083679	0.083679	0.083679
6.20332	0.071101	0.0852741	0.0852741	0.0852741
6.26393	0.0786852	0.0857865	0.0857865	0.0857865
6.32453	0.0869164	0.0863162	0.0863162	0.0863162
6.38514	0.0964894	0.0868653	0.0868653	0.0868653
6.40333	0.0998196	0.0870342	0.0870342	0.0870342
6.42151	0.103569	0.0872055	0.0872055	0.0872055
6.43969	0.107948	0.0873794	0.0873794	0.0873794
6.45787	0.113325	0.0875566	0.0875566	0.0875566
6.47606	0.120491	0.0877378	0.0877378	0.0877378
6.49236	0.129808	0.087905	0.087905	0.087905
6.50459	0.140285	0.0880349	0.0880349	0.0880349
6.51412	0.152509	0.08814	0.08814	0.08814
6.52168	0.166947	0.0882269	0.0882269	0.0882269
6.52776	0.18411	0.0883002	0.0883002	0.0883002
6.53272	0.204632	0.0883635	0.0883635	0.0883635
6.53684	0.229342	0.0884193	0.0884193	0.0884193
6.54096	0.266476	0.0884797	0.0884797	0.0884797
6.544	0.307087	0.0885285	0.0885285	0.0885285
6.54703	0.366941	0.0885827	0.0885827	0.0885827
6.55007	0.457594	0.0886451	0.0886451	0.0886451
6.55311	0.59005	0.0887196	0.0887196	0.0887196
6.55505	0.694768	0.0887754	0.0887754	0.0887754
6.55659	0.780929	0.0888252	0.0888252	0.0888252
6.55813	0.858111	0.0888795	0.0888795	0.0888795
6.55967	0.917768	0.0889378	0.0889378	0.0889378
6.56122	0.957851	0.0889988	0.0889988	0.0889988
6.56276	0.981772	0.0890617	0.0890617	0.0890617
6.56444	0.995525	0.0891314	0.0891314	0.0891314
6.56613	1.00247	0.0892017	0.0892017	0.0892017
6.56781	1.00658	0.0892723	0.0892723	0.0892723
6.56949	1.00896	0.0893431	0.0893431	0.0893431
6.57118	1.00967	0.089414	0.089414	0.089414
6.57286	1.00946	0.0894849	0.0894849	0.0894849
6.57501	1.00915	0.0895754	0.0895754	0.0895754
6.57716	1.00954	0.0896659	0.0896659	0.0896659
6.57931	1.01002	0.0897564	0.0897564	0.0897564
6.58146	1.01	0.089847	0.089847	0.089847
6.58361	1.0097	0.0899375	0.0899375	0.0899375
6.58576	1.00956	0.0900281	0.0900281	0.0900281
6.58791	1.00962	0.0901186	0.0901186	0.0901186
6.59182	1.01011	0.0902831	0.0902831	0.0902831
6.59573	1.00994	0.0904476	0.0904476	0.0904476
6.59964	1.00923	0.0906122	0.0906122	0.0906122
6.60354	1.00879	0.0907766	0.0907766	0.0907766
6.60745	1.00874	0.090941	0.090941	0.090941
6.61136	1.00869	0.0911054	0.0911054	0.0911054
6.61527	1.00847	0.0912698	0.0912698	0.0912698
6.62294	1.00809	0.0915927	0.0915927	0.0915927
6.63062	1.00774	0.0919155	0.0919155	0.0919155
6.6383	1.00742	0.0922382	0.0922382	0.0922382
6.64597	1.00709	0.0925608	0.0925608	0.0925608
6.65365	1.00675	0.0928834	0.0928834	0.0928834
6.7233	1.00357	0.0958046	0.0958046	0.0958046
6.79294	1.00022	0.0987176	0.0987176	0.0987176
6.86258	0.996723	0.101622	0.101622	0.101622
6.90726	0.994378	0.103481	0.103481	0.103481
6.95194	0.991947	0.105336	0.105336	0.105336
6.99662	0.989424	0.107186	0.107186	0.107186
7.0413	0.986802	0.109033	0.109033	0.109033
7.18085	0.977882	0.114772	0.114772	0.114772
7.32039	0.967623	0.120463	0.120463	0.120463
7.45994	0.955621	0.126098	0.126098	0.126098
7.59948	0.941295	0.131668	0.131668	0.131668
7.73903	0.923798	0.137157	0.137157	0.137157
8.02362	0.870871	0.147999	0.147999	0.147999
8.10899	0.846409	0.151132	0.151132	0.151132
8.19437	0.813089	0.154176	0.154176	0.154176
