t	u	v	x	y
0	0.077496	-0.00621811	-0.00621811	-0.00621811
0.00129791	0.0791793	-0.00612796	-0.00612796	-0.00612796
0.00259582	0.080978	-0.00603668	-0.00603668	-0.00603668
0.00389373	0.0829101	-0.00594416	-0.00594416	-0.00594416
0.00670715	0.087603	-0.00573941	-0.00573941	-0.00573941
0.00952057	0.0932175	-0.00552762	-0.00552762	-0.00552762
0.012334	0.100142	-0.00530703	-0.00530703	-0.00530703
0.0151474	0.108987	-0.00507529	-0.00507529	-0.00507529
0.0181391	0.121544	-0.00481313	-0.00481313	-0.00481313
0.0211308	0.13952	-0.00452847	-0.00452847	-0.00452847
0.0233612	0.158853	-0.00429555	-0.00429555	-0.00429555
0.0255915	0.187353	-0.00403616	-0.00403616	-0.00403616
0.0271869	0.217115	-0.00382737	-0.00382737	-0.00382737
0.0287824	0.26057	-0.00358959	-0.00358959	-0.00358959
0.0300069	0.30878	-0.00337907	-0.00337907	-0.00337907
0.0312314	0.377598	-0.00313297	-0.00313297	-0.00313297
0.0324559	0.4761	-0.00283601	-0.00283601	-0.00283601
0.0336804	0.608405	-0.00246889	-0.00246889	-0.00246889
0.0344776	0.707787	-0.00218328	-0.00218328	-0.00218328
0.0352748	0.803895	-0.0018585	-0.0018585	-0.0018585
0.0360721	0.882655	-0.00149835	-0.00149835	-0.00149835
0.0368693	0.936611	-0.00111115	-0.00111115	-0.00111115
0.0376665	0.96745	-0.00070672	-0.00070672	-0.00070672
0.0384638	0.982819	-0.000293156	-0.000293156	-0.000293156
0.039261	0.990293	0.000124589	0.000124589	0.000124589
0.0401492	0.994493	0.000592309	0.000592309	0.000592309
0.0410375	0.99667	0.00106116	0.00106116	0.00106116
0.0419257	0.997305	0.00153054	0.00153054	0.00153054
0.0428139	0.997144	0.00200007	0.00200007	0.00200007
0.0437022	0.99684	0.00246952	0.00246952	0.00246952
0.046094	0.995405	0.00373286	0.00373286	0.00373286
0.0484857	0.994479	0.00499462	0.00499462	0.00499462
0.0508775	0.993514	0.00625499	0.00625499	0.00625499
0.0532693	0.992218	0.00751401	0.00751401	0.00751401
0.0556611	0.990824	0.00877151	0.00877151	0.00877151
0.0610874	0.987898	0.0116187	0.0116187	0.0116187
0.0665138	0.984994	0.0144579	0.0144579	0.0144579
0.0719402	0.982047	0.0172892	0.0172892	0.0172892
0.0773666	0.979056	0.0201124	0.0201124	0.0201124
0.127565	0.949877	0.0458214	0.0458214	0.0458214
0.177763	0.917261	0.0707504	0.0707504	0.0707504
0.227961	0.879722	0.0947958	0.0947958	0.0947958
0.278159	0.83294	0.117773	0.117773	0.117773
0.293219	0.815775	0.124432	0.124432	0.124432
0.308278	0.796321	0.130952	0.130952	0.130952
0.323338	0.773497	0.137312	0.137312	0.137312
0.338397	0.744525	0.143475	0.143475	0.143475
0.354145	0.697313	0.149624	0.149624	0.149624
0.35887	0.676117	0.151389	0.151389	0.151389
0.363594	0.645474	0.153093	0.153093	0.153093
0.367192	0.609196	0.15433	0.15433	0.15433
0.369719	0.569435	0.155152	0.155152	0.155152
0.37164	0.523205	0.155735	0.155735	0.155735
0.373132	0.469707	0.156151	0.156151	0.156151
0.37435	0.406559	0.156455	0.156455	0.156455
0.375569	0.315725	0.156712	0.156712	0.156712
0.376787	0.188114	0.156904	0.156904	0.156904
0.377086	0.150628	0.156938	0.156938	0.156938
0.377384	0.111248	0.156967	0.156967	0.156967
0.377682	0.0706061	0.156989	0.156989	0.156989
0.37798	0.0294935	0.157006	0.157006	0.157006
