x	y
0.00042	-1.5625
0.0004225	-1.5
0.00043	-1.53125
0.000435	-1.5
0.0004425	-1.5
0.000445	-1.40625
0.0004525	-1.375
0.0004575	-1.375
0.000465	-1.3125
0.0004675	-1.25
0.000475	-1.15625
0.00048	-1.125
0.0004875	-1.03125
0.00049	-0.96875
0.0004975	-0.875
0.0005025	-0.8125
0.00051	-0.65625
0.0005125	-0.65625
0.00052	-0.53125
0.000525	-0.46875
0.0005325	-0.34375
0.000535	-0.34375
0.0005425	-0.1875
0.0005475	-0.125
0.000555	0
0.0005575	0
0.000565	0.125
0.00057	0.1875
0.0005775	0.25
0.00058	0.3125
0.0005875	0.375
0.0005925	0.4375
0.0006	0.46875
0.0006025	0.5
0.0006075	2.03125
0.00061	2
0.0006125	2.21875
0.000615	-2.75
0.0006175	-1.96875
0.0006225	-1.8125
0.00063	-1.625
0.0006325	-1.53125
0.00064	-1.375
0.000645	-1.25
0.0006525	-1.15625
0.000655	-1.09375
0.0006625	-1.03125
0.0006675	-0.96875
0.000675	-0.84375
0.0006775	-0.84375
0.000685	-0.71875
0.00069	-0.6875
0.0006975	-0.3125
0.0007	-0.3125
0.0007075	-0.28125
0.0007125	-0.28125
0.00072	-0.28125
0.0007225	-0.25
0.00073	-0.28125
0.000735	-0.28125
0.0007425	-0.3125
0.000745	-0.3125
0.0007525	-0.3125
0.0007575	-0.375
0.000765	-0.34375
0.0007675	-0.375
0.000775	-0.4375
0.00078	-0.4375
0.0007875	-0.46875
0.00079	-0.46875
0.0007975	-0.53125
0.0008025	-0.5625
0.00081	-0.5625
0.0008125	-0.625
0.00082	-0.6875
0.000825	-0.75
0.0008325	-0.78125
0.000835	-0.78125
0.0008425	-0.84375
0.0008475	-0.90625
0.000855	-1.03125
0.0008575	-1
0.000865	-1.09375
0.00087	-1.15625
0.0008775	-1.25
0.00088	-1.21875
0.0008875	-1.28125
0.0008925	-1.34375
0.0009	-1.40625
0.0009025	-1.40625
0.00091	-1.46875
0.000915	-1.53125
0.0009225	-1.5625
0.000925	-1.5625
0.0009325	-1.625
0.0009375	-1.625
0.000945	-1.625
0.0009475	-1.6875
0.000955	-1.65625
0.00096	-1.6875
0.0009675	-1.65625
0.00097	-1.6875
0.0009775	-1.65625
0.0009825	-1.6875
0.00099	-1.65625
0.0009925	-1.65625
0.001	-1.65625
0.001005	-1.625
0.0010125	-1.625
0.001015	-1.625
0.0010225	-1.625
0.0010275	-1.5625
0.001035	-1.53125
0.0010375	-1.59375
0.001045	-1.53125
0.00105	-1.46875
0.0010575	-1.46875
0.00106	-1.40625
0.0010675	-1.4375
0.0010725	-1.375
0.00108	-1.25
0.0010825	-1.21875
0.00109	-1.1875
0.001095	-1.125
0.0011025	-1.03125
0.001105	-1
0.0011125	-0.90625
0.0011175	-0.84375
0.001125	-0.75
0.0011275	-0.65625
0.001135	-0.5625
0.00114	-0.46875
0.0011475	-0.375
0.00115	-0.34375
0.0011575	-0.21875
0.0011625	-0.125
0.00117	-0.0625
0.0011725	0
0.00118	0.09375
0.001185	0.125
0.0011925	0.25
0.001195	0.28125
0.0012025	0.3125
0.0012075	0.4375
0.001215	0.46875
0.0012175	0.5
0.001225	1.46875
0.0012275	2.21875
0.00123	2.25
0.0012325	-2.0625
0.0012375	-1.875
0.001245	-1.625
0.0012475	-1.5625
0.001255	-1.375
0.00126	-1.3125
0.0012675	-1.15625
0.00127	-1.15625
0.0012775	-1
0.0012825	-0.9375
0.00129	-0.90625
0.0012925	-0.84375
0.0013	-0.78125
0.001305	-0.71875
0.0013125	-0.3125
0.001315	-0.3125
0.0013225	-0.28125
0.0013275	-0.3125
0.001335	-0.28125
0.0013375	-0.25
0.001345	-0.25
0.00135	-0.28125
0.0013575	-0.28125
0.00136	-0.3125
0.0013675	-0.34375
0.0013725	-0.34375
0.00138	-0.34375
0.0013825	-0.375
0.00139	-0.375
0.001395	-0.40625
0.0014025	-0.4375
0.001405	-0.4375
0.0014125	-0.53125
