x	y
-0.0025	0.001
-0.00249	0.0135
-0.00248	0.026
-0.00247	0.03225
-0.00246	0.0635
-0.00245	0.076
-0.00244	0.09475
-0.00243	0.101
-0.00242	0.1135
-0.00241	0.14475
-0.0024	0.1635
-0.00239	0.1885
-0.00238	0.2135
-0.00237	0.226
-0.00236	0.24475
-0.00235	0.23225
-0.00234	0.25725
-0.00233	0.2885
-0.00232	0.28225
-0.00231	0.28225
-0.0023	0.29475
-0.00229	0.276
-0.00228	0.301
-0.00227	0.301
-0.00226	0.29475
-0.00225	0.26975
-0.00224	0.276
-0.00223	0.26975
-0.00222	0.251
-0.00221	0.2385
-0.0022	0.21975
-0.00219	0.20725
-0.00218	0.1885
-0.00217	0.1885
-0.00216	0.15725
-0.00215	0.14475
-0.00214	0.126
-0.00213	0.11975
-0.00212	0.08225
-0.00211	0.076
-0.0021	0.0635
-0.00209	0.03225
-0.00208	0.03225
-0.00207	0.026
-0.00206	0.0135
-0.00205	-0.0115
-0.00204	-0.01775
-0.00203	-0.0365
-0.00202	-0.03025
-0.00201	-0.0365
-0.002	-0.024
-0.00199	-0.024
-0.00198	-0.05525
-0.00197	-0.03025
-0.00196	-0.0365
-0.00195	-0.01775
-0.00194	0.00725
-0.00193	0.01975
-0.00192	0.01975
-0.00191	0.04475
-0.0019	0.076
-0.00189	0.06975
-0.00188	0.10725
-0.00187	0.101
-0.00186	0.1385
-0.00185	0.151
-0.00184	0.16975
-0.00183	0.1885
-0.00182	0.201
-0.00181	0.226
-0.0018	0.23225
-0.00179	0.21975
-0.00178	0.25725
-0.00177	0.2635
-0.00176	0.26975
-0.00175	0.28225
-0.00174	0.301
-0.00173	0.29475
-0.00172	0.30725
-0.00171	0.30725
-0.0017	0.28225
-0.00169	0.25725
-0.00168	0.28225
-0.00167	0.2635
-0.00166	0.2385
-0.00165	0.2385
-0.00164	0.226
-0.00163	0.20725
-0.00162	0.18225
-0.00161	0.19475
-0.0016	0.14475
-0.00159	0.14475
-0.00158	0.13225
-0.00157	0.1135
-0.00156	0.101
-0.00155	0.0885
-0.00154	0.0635
-0.00153	0.0385
-0.00152	0.04475
-0.00151	0.00725
-0.0015	0.0135
-0.00149	-0.00525
-0.00148	-0.01775
-0.00147	-0.0115
-0.00146	-0.0365
-0.00145	-0.0365
-0.00144	-0.0365
-0.00143	-0.04275
-0.00142	-0.024
-0.00141	-0.0365
-0.0014	-0.00525
-0.00139	-0.01775
-0.00138	-0.01775
-0.00137	0.001
-0.00136	0.03225
-0.00135	0.04475
-0.00134	0.0635
-0.00133	0.076
-0.00132	0.08225
-0.00131	0.11975
-0.0013	0.1385
-0.00129	0.16975
-0.00128	0.16975
-0.00127	0.19475
-0.00126	0.201
-0.00125	0.2385
-0.00124	0.24475
-0.00123	0.25725
-0.00122	0.2635
-0.00121	0.276
-0.0012	0.28225
-0.00119	0.29475
-0.00118	0.2885
