x,y
-2.482500E-03,+13.500004E-03
-2.462500E-03,+44.750005E-03
-2.442500E-03,+82.250005E-03
-2.422500E-03,+119.750006E-03
-2.402500E-03,+144.750006E-03
-2.382500E-03,+213.500007E-03
-2.362500E-03,+232.250007E-03
-2.342500E-03,+269.750008E-03
-2.322500E-03,+269.750008E-03
-2.302500E-03,+288.500008E-03
-2.282500E-03,+294.750008E-03
-2.262500E-03,+269.750008E-03
-2.242500E-03,+269.750008E-03
-2.222500E-03,+263.500008E-03
-2.202500E-03,+226.000007E-03
-2.182500E-03,+194.750007E-03
-2.162500E-03,+169.750006E-03
-2.142500E-03,+138.500006E-03
-2.122500E-03,+101.000005E-03
-2.102500E-03,+76.000005E-03
-2.082500E-03,+32.250004E-03
-2.062500E-03,+1.000004E-03
-2.042500E-03,-11.499996E-03
-2.022500E-03,-30.249997E-03
-2.002500E-03,-36.499997E-03
-1.982500E-03,-48.999997E-03
-1.962500E-03,-36.499997E-03
-1.942500E-03,-17.749996E-03
-1.922500E-03,+13.500004E-03
-1.902500E-03,+51.000005E-03
-1.882500E-03,+69.750005E-03
-1.862500E-03,+144.750006E-03
-1.842500E-03,+182.250007E-03
-1.822500E-03,+213.500007E-03
-1.802500E-03,+232.250007E-03
-1.782500E-03,+263.500008E-03
-1.762500E-03,+294.750008E-03
-1.742500E-03,+294.750008E-03
-1.722500E-03,+276.000008E-03
-1.702500E-03,+288.500008E-03
-1.682500E-03,+276.000008E-03
-1.662500E-03,+257.250008E-03
-1.642500E-03,+232.250007E-03
-1.622500E-03,+188.500007E-03
-1.602500E-03,+163.500006E-03
-1.582500E-03,+126.000006E-03
-1.562500E-03,+107.250005E-03
-1.542500E-03,+69.750005E-03
-1.522500E-03,+38.500004E-03
-1.502500E-03,+7.250004E-03
-1.482500E-03,-5.249996E-03
-1.462500E-03,-17.749996E-03
-1.442500E-03,-42.749997E-03
-1.422500E-03,-36.499997E-03
-1.402500E-03,-17.749996E-03
-1.382500E-03,+1.000004E-03
-1.362500E-03,+26.000004E-03
-1.342500E-03,+69.750005E-03
-1.322500E-03,+94.750005E-03
-1.302500E-03,+126.000006E-03
-1.282500E-03,+182.250007E-03
-1.262500E-03,+201.000007E-03
-1.242500E-03,+232.250007E-03
-1.222500E-03,+263.500008E-03
-1.202500E-03,+269.750008E-03
-1.182500E-03,+276.000008E-03
-1.162500E-03,+307.250008E-03
-1.142500E-03,+276.000008E-03
-1.122500E-03,+282.250008E-03
-1.102500E-03,+251.000008E-03
-1.082500E-03,+244.750008E-03
-1.062500E-03,+207.250007E-03
-1.042500E-03,+163.500006E-03
-1.022500E-03,+126.000006E-03
-1.002500E-03,+107.250005E-03
-982.500E-06,+38.500004E-03
-962.500E-06,+26.000004E-03
-942.500E-06,+7.250004E-03
-922.500E-06,-17.749996E-03
-902.500E-06,-30.249997E-03
-882.500E-06,-42.749997E-03
-862.500E-06,-23.999996E-03
-842.500E-06,-11.499996E-03
-822.500E-06,-11.499996E-03
-802.500E-06,+26.000004E-03
-782.500E-06,+57.250005E-03
-762.500E-06,+88.500005E-03
-742.500E-06,+126.000006E-03
-722.500E-06,+169.750006E-03
-702.500E-06,+194.750007E-03
-682.500E-06,+251.000008E-03
-662.500E-06,+263.500008E-03
-642.500E-06,+251.000008E-03
-622.500E-06,+294.750008E-03
-602.500E-06,+263.500008E-03
-582.500E-06,+282.250008E-03
-562.500E-06,+282.250008E-03
-542.500E-06,+251.000008E-03
-522.500E-06,+244.750008E-03
-502.500E-06,+201.000007E-03
-482.500E-06,+169.750006E-03
-462.500E-06,+132.250006E-03
-442.500E-06,+76.000005E-03
-422.500E-06,+57.250005E-03
-402.500E-06,+26.000004E-03
-382.500E-06,+13.500004E-03
-362.500E-06,-17.749996E-03
-342.500E-06,-42.749997E-03
-322.500E-06,-30.249997E-03
-302.500E-06,-30.249997E-03
-282.500E-06,-30.249997E-03
-262.500E-06,-5.249996E-03
-242.500E-06,+19.750004E-03
-222.500E-06,+38.500004E-03
-202.500E-06,+101.000005E-03
-182.500E-06,+132.250006E-03
-162.500E-06,+163.500006E-03
-142.500E-06,+213.500007E-03
-122.500E-06,+238.500007E-03
-102.500E-06,+263.500008E-03
-82.500E-06,+282.250008E-03
-62.500E-06,+307.250008E-03
-42.500E-06,+301.000008E-03
-22.500E-06,+282.250008E-03
-2.500E-06,+263.500008E-03
+17.500E-06,+244.750008E-03
+37.500E-06,+244.750008E-03
+57.500E-06,+207.250007E-03
+77.500E-06,+163.500006E-03
+97.500E-06,+126.000006E-03
+117.500E-06,+82.250005E-03
+137.500E-06,+51.000005E-03
+157.500E-06,+26.000004E-03
+177.500E-06,+13.500004E-03
+197.500E-06,-17.749996E-03
+217.500E-06,-42.749997E-03
+237.500E-06,-42.749997E-03
+257.500E-06,-23.999996E-03
+277.500E-06,-36.499997E-03
+297.500E-06,+1.000004E-03
+317.500E-06,+19.750004E-03
+337.500E-06,+44.750005E-03
+357.500E-06,+94.750005E-03
+377.500E-06,+132.250006E-03
+397.500E-06,+169.750006E-03
+417.500E-06,+207.250007E-03
+437.500E-06,+238.500007E-03
+457.500E-06,+257.250008E-03
+477.500E-06,+294.750008E-03
+497.500E-06,+294.750008E-03
+517.500E-06,+301.000008E-03
+537.500E-06,+294.750008E-03
+557.500E-06,+269.750008E-03
+577.500E-06,+244.750008E-03
+597.500E-06,+244.750008E-03
+617.500E-06,+201.000007E-03
+637.500E-06,+169.750006E-03
+657.500E-06,+107.250005E-03
+677.500E-06,+94.750005E-03
+697.500E-06,+51.000005E-03
+717.500E-06,+26.000004E-03
+737.500E-06,-11.499996E-03
+757.500E-06,-5.249996E-03
+777.500E-06,-48.999997E-03
+797.500E-06,-42.749997E-03
+817.500E-06,-23.999996E-03
+837.500E-06,-23.999996E-03
+857.500E-06,+1.000004E-03
+877.500E-06,+38.500004E-03
+897.500E-06,+57.250005E-03
+917.500E-06,+94.750005E-03
+937.500E-06,+138.500006E-03
+957.500E-06,+194.750007E-03
+977.500E-06,+238.500007E-03
+997.500E-06,+244.750008E-03
+1.017500E-03,+257.250008E-03
+1.037500E-03,+276.000008E-03
+1.057500E-03,+301.000008E-03
+1.077500E-03,+288.500008E-03
+1.097500E-03,+282.250008E-03
+1.117500E-03,+257.250008E-03
+1.137500E-03,+238.500007E-03
+1.157500E-03,+232.250007E-03
+1.177500E-03,+176.000006E-03
+1.197500E-03,+144.750006E-03
+1.217500E-03,+113.500006E-03
+1.237500E-03,+76.000005E-03
+1.257500E-03,+57.250005E-03
+1.277500E-03,+19.750004E-03
+1.297500E-03,-5.249996E-03
+1.317500E-03,-30.249997E-03
+1.337500E-03,-23.999996E-03
+1.357500E-03,-42.749997E-03
+1.377500E-03,-42.749997E-03
+1.397500E-03,-36.499997E-03
+1.417500E-03,+7.250004E-03
+1.437500E-03,+38.500004E-03
+1.457500E-03,+63.500005E-03
+1.477500E-03,+113.500006E-03
+1.497500E-03,+132.250006E-03
+1.517500E-03,+169.750006E-03
+1.537500E-03,+219.750007E-03
+1.557500E-03,+232.250007E-03
+1.577500E-03,+263.500008E-03
+1.597500E-03,+276.000008E-03
+1.617500E-03,+307.250008E-03
+1.637500E-03,+257.250008E-03
+1.657500E-03,+294.750008E-03
+1.677500E-03,+257.250008E-03
+1.697500E-03,+251.000008E-03
+1.717500E-03,+226.000007E-03
+1.737500E-03,+176.000006E-03
+1.757500E-03,+163.500006E-03
+1.777500E-03,+119.750006E-03
+1.797500E-03,+88.500005E-03
+1.817500E-03,+44.750005E-03
+1.837500E-03,+19.750004E-03
+1.857500E-03,-5.249996E-03
+1.877500E-03,-23.999996E-03
+1.897500E-03,-36.499997E-03
+1.917500E-03,-36.499997E-03
+1.937500E-03,-36.499997E-03
+1.957500E-03,-11.499996E-03
+1.977500E-03,+1.000004E-03
+1.997500E-03,+19.750004E-03
+2.017500E-03,+57.250005E-03
+2.037500E-03,+113.500006E-03
+2.057500E-03,+144.750006E-03
+2.077500E-03,+188.500007E-03
+2.097500E-03,+213.500007E-03
+2.117500E-03,+232.250007E-03
+2.137500E-03,+276.000008E-03
+2.157500E-03,+282.250008E-03
+2.177500E-03,+288.500008E-03
+2.197500E-03,+301.000008E-03
+2.217500E-03,+282.250008E-03
+2.237500E-03,+282.250008E-03
+2.257500E-03,+251.000008E-03
+2.277500E-03,+207.250007E-03
+2.297500E-03,+194.750007E-03
+2.317500E-03,+144.750006E-03
+2.337500E-03,+113.500006E-03
+2.357500E-03,+69.750005E-03
+2.377500E-03,+51.000005E-03
+2.397500E-03,+13.500004E-03
+2.417500E-03,-5.249996E-03
+2.437500E-03,-23.999996E-03
+2.457500E-03,-30.249997E-03
+2.477500E-03,-55.249997E-03
+2.497500E-03,-36.499997E-03
