x,y
+5.842500E-03,+531.000018E-03
+5.847500E-03,+593.500018E-03
+5.852500E-03,+3.749750018E+00
+5.857500E-03,-343.999982E-03
+5.862500E-03,+62.250018E-03
+5.867500E-03,+93.500018E-03
+5.872500E-03,+156.000018E-03
+5.877500E-03,+218.500018E-03
+5.882500E-03,+249.750018E-03
+5.887500E-03,+343.500018E-03
+5.892500E-03,+374.750018E-03
+5.897500E-03,+437.250018E-03
+5.902500E-03,+468.500018E-03
+5.907500E-03,+3.874750018E+00
+5.912500E-03,+124.750018E-03
+5.917500E-03,+218.500018E-03
+5.922500E-03,+281.000018E-03
+5.927500E-03,+249.750018E-03
+5.932500E-03,+312.250018E-03
+5.937500E-03,+343.500018E-03
+5.942500E-03,+343.500018E-03
+5.947500E-03,+406.000018E-03
+5.952500E-03,+437.250018E-03
+5.957500E-03,+468.500018E-03
+5.962500E-03,+3.812250018E+00
+5.967500E-03,+93.500018E-03
+5.972500E-03,+156.000018E-03
+5.977500E-03,+218.500018E-03
+5.982500E-03,+218.500018E-03
+5.987500E-03,+218.500018E-03
+5.992500E-03,+249.750018E-03
+5.997500E-03,+218.500018E-03
+6.002500E-03,+218.500018E-03
+6.007500E-03,+218.500018E-03
+6.012500E-03,+281.000018E-03
+6.017500E-03,+3.843500018E+00
+6.022500E-03,+3.374750018E+00
+6.027500E-03,-62.749982E-03
+6.032500E-03,-31.499982E-03
+6.037500E-03,-31.499982E-03
+6.042500E-03,-31.499982E-03
+6.047500E-03,-62.749982E-03
+6.052500E-03,-31.499982E-03
+6.057500E-03,-62.749982E-03
+6.062500E-03,-31.499982E-03
+6.067500E-03,-31.499982E-03
+6.072500E-03,+249.750018E-03
+6.077500E-03,+249.750018E-03
+6.082500E-03,+218.500018E-03
+6.087500E-03,+187.250018E-03
+6.092500E-03,+187.250018E-03
+6.097500E-03,+124.750018E-03
+6.102500E-03,+124.750018E-03
+6.107500E-03,+62.250018E-03
+6.112500E-03,+31.000018E-03
+6.117500E-03,-31.499982E-03
+6.122500E-03,-31.499982E-03
+6.127500E-03,-31.499982E-03
+6.132500E-03,-93.999982E-03
+6.137500E-03,-93.999982E-03
+6.142500E-03,-156.499982E-03
+6.147500E-03,-156.499982E-03
+6.152500E-03,-218.999982E-03
+6.157500E-03,-218.999982E-03
+6.162500E-03,-281.499982E-03
+6.167500E-03,-312.749982E-03
+6.172500E-03,-312.749982E-03
+6.177500E-03,-343.999982E-03
+6.182500E-03,-375.249982E-03
+6.187500E-03,-375.249982E-03
+6.192500E-03,-406.499982E-03
+6.197500E-03,-437.749982E-03
+6.202500E-03,-437.749982E-03
+6.207500E-03,-468.999982E-03
+6.212500E-03,-468.999982E-03
+6.217500E-03,-531.499982E-03
+6.222500E-03,-500.249982E-03
+6.227500E-03,-500.249982E-03
+6.232500E-03,-500.249982E-03
+6.237500E-03,-531.499982E-03
+6.242500E-03,-531.499982E-03
+6.247500E-03,-500.249982E-03
+6.252500E-03,-500.249982E-03
+6.257500E-03,-531.499982E-03
+6.262500E-03,-500.249982E-03
+6.267500E-03,-468.999982E-03
+6.272500E-03,-531.499982E-03
+6.277500E-03,-562.749982E-03
+6.282500E-03,-468.999982E-03
+6.287500E-03,-468.999982E-03
+6.292500E-03,-437.749982E-03
+6.297500E-03,-437.749982E-03
+6.302500E-03,-437.749982E-03
+6.307500E-03,-406.499982E-03
+6.312500E-03,-375.249982E-03
