x	y
-0.009996	0.25
-0.009986	0.28125
-0.009956	0.21875
-0.009936	0.15625
-0.009906	0.1875
-0.009896	0.15625
-0.009866	0.125
-0.009846	0.125
-0.009816	0.1875
-0.009806	0.125
-0.009776	0.21875
-0.009756	0.25
-0.009726	0.3125
-0.009716	0.3125
-0.009686	0.34375
-0.009666	0.4375
-0.009636	0.46875
-0.009626	0.46875
-0.009596	0.46875
-0.009586	-3.96875
-0.009576	-2
-0.009566	-1.5625
-0.009556	-1.53125
-0.009546	-1.375
-0.009536	-1.25
-0.009526	-1.21875
-0.009516	-1.0625
-0.009506	-1.03125
-0.009486	-0.625
-0.009456	-0.5625
-0.009446	-0.59375
-0.009416	-0.5
-0.009396	-0.46875
-0.009366	-0.375
-0.009356	-0.375
-0.009326	-0.28125
-0.009306	-0.25
-0.009276	-0.21875
-0.009266	-0.1875
-0.009236	-0.15625
-0.009216	-0.15625
-0.009186	-0.1875
-0.009176	-0.1875
-0.009146	-0.21875
-0.009126	-0.25
-0.009096	-0.28125
-0.009086	-0.28125
-0.009056	-0.3125
-0.009036	-0.34375
-0.009006	-0.34375
-0.008996	-0.34375
-0.008966	-0.375
-0.008946	-0.34375
-0.008916	-0.28125
-0.008906	-0.3125
-0.008876	-0.25
-0.008856	-0.21875
-0.008826	-0.15625
-0.008816	-0.09375
-0.008786	-0.03125
-0.008766	-0.03125
-0.008736	0.03125
-0.008726	0.0625
-0.008696	0.03125
-0.008676	0.0625
-0.008646	0.09375
-0.008636	0.0625
-0.008606	0.03125
-0.008586	0
-0.008556	-0.03125
-0.008546	-0.03125
-0.008516	-0.09375
-0.008496	-0.09375
-0.008466	-0.15625
-0.008456	-0.15625
-0.008426	-0.15625
-0.008406	-0.125
-0.008376	-0.15625
-0.008366	-0.15625
-0.008336	-0.09375
-0.008316	-0.09375
-0.008286	0
-0.008276	0
-0.008246	0.125
-0.008226	0.125
-0.008196	0.15625
-0.008186	0.1875
-0.008156	0.21875
-0.008136	0.21875
-0.008106	0.21875
-0.008096	0.21875
-0.008066	0.1875
-0.008046	0.1875
-0.008016	0.125
-0.008006	0.09375
-0.007976	0.0625
-0.007956	0.03125
-0.007926	0
-0.007916	-0.03125
-0.007886	-0.0625
