x	Curve1	Curve2	Curve3	Curve4
0,01005	2,41633	3,20531	4,51938	0,06196
0,23954	2,13893	2,75903	3,90844	1,99335
0,32551	1,99375	2,59216	3,64553	2,11177
0,44558	1,85719	2,38549	3,28876	2,18237
0,57426	1,70356	2,17069	2,95221	2,19544
0,70297	1,54137	1,95712	2,64912	2,12214
0,83173	1,37063	1,74255	2,35806	1,99463
1,1063	1,02919	1,29415	1,76215	1,6424
1,24355	0,86703	1,08471	1,4828	1,45801
1,37222	0,71339	0,90525	1,24206	1,27649
1,59514	0,47445	0,63938	0,90053	0,90867
1,75779	0,3551	0,47192	0,69175	0,68804
1,92897	0,23577	0,32389	0,47908	0,46053
2,03162	0,17827	0,2492	0,3637	0,34468
2,15776	0,11442	0,16618	0,24736	0,25432
2,28814	0,05486	0,09112	0,15628	0,1786
2,41624	0,02949	0,04213	0,08602	0,11069
2,48883	0,01469	0,03098	0,05265	0,0766
