x	y
0.00595	-0.094
0.0059525	-0.12525
0.00596	-0.12525
0.005965	-0.1565
0.0059725	-0.1565
0.005975	-0.12525
0.0059825	-0.18775
0.0059875	-0.18775
0.005995	-0.18775
0.0059975	-0.1565
0.006005	-0.1565
0.00601	-0.1565
0.0060175	-0.1565
0.00602	-0.1565
0.0060275	-0.18775
0.0060325	-0.12525
0.00604	-0.094
0.0060425	-0.12525
0.00605	-0.094
0.006055	-0.06275
0.0060625	-0.0315
0.006065	-0.0315
0.0060725	-0.0315
0.0060775	-0.000249982
0.006085	0.031
0.0060875	0.031
0.006095	0.06225
0.0061	0.06225
0.0061075	0.0935
0.00611	0.12475
0.0061175	0.0935
0.0061225	0.156
0.00613	0.156
0.0061325	0.18725
0.00614	0.24975
0.006145	0.2185
0.0061525	0.281
0.006155	0.281
0.0061625	0.31225
0.0061675	0.3435
0.006175	0.3435
0.0061775	0.406
0.006185	0.37475
0.00619	0.43725
0.0061975	0.406
0.0062	0.43725
0.0062075	0.4685
0.0062125	0.49975
0.00622	0.4685
0.0062225	0.49975
0.00623	0.4685
0.006235	0.531
0.0062425	0.49975
0.006245	0.49975
0.0062525	3.781
0.006255	3.68725
0.0062575	3.656
0.00626	-0.18775
0.006265	-0.06275
0.0062725	-0.06275
0.006275	-0.000249982
0.0062825	-0.000249982
0.0062875	0.031
0.006295	0.031
0.0062975	0.031
0.006305	0.43725
0.0063075	3.7185
0.00631	3.5935
0.0063125	-0.2815
0.0063175	-0.18775
0.006325	-0.18775
0.0063275	-0.1565
0.006335	-0.12525
0.00634	-0.12525
0.0063475	-0.094
0.00635	-0.094
0.0063575	0.3435
0.0063625	0.2185
0.00637	0.281
0.0063725	0.2185
0.00638	0.2185
0.006385	0.2185
0.0063925	0.18725
0.006395	0.156
0.0064025	0.156
0.0064075	0.12475
0.006415	0.12475
0.0064175	0.0935
0.006425	0.0935
0.00643	0.0935
0.0064375	0.06225
0.00644	0.06225
0.0064475	0.031
0.0064525	0.031
0.00646	-0.000249982
0.0064625	-0.000249982
0.00647	-0.000249982
0.006475	-0.06275
0.0064825	-0.0315
0.006485	-0.06275
0.0064925	-0.06275
0.0064975	-0.06275
0.006505	-0.06275
0.0065075	-0.06275
0.006515	-0.094
0.00652	-0.094
0.0065275	-0.094
0.00653	-0.12525
0.0065375	-0.12525
0.0065425	-0.12525
0.00655	-0.094
0.0065525	-0.12525
0.00656	-0.094
0.006565	-0.094
0.0065725	-0.12525
0.006575	-0.094
0.0065825	-0.094
0.0065875	-0.06275
0.006595	-0.06275
0.0065975	-0.06275
0.006605	-0.0315
0.00661	-0.06275
0.0066175	-0.000249982
0.00662	-0.0315
0.0066275	-0.000249982
0.0066325	-0.0315
0.00664	0.031
0.0066425	0.031
0.00665	0.06225
0.006655	0.06225
0.0066625	0.0935
0.006665	0.0935
0.0066725	0.12475
0.0066775	0.12475
0.006685	0.156
0.0066875	0.156
0.006695	0.18725
0.0067	0.18725
0.0067075	0.2185
0.00671	0.2185
0.0067175	0.24975
0.0067225	0.281
0.00673	0.24975
0.0067325	0.31225
0.00674	0.31225
0.006745	0.31225
0.0067525	0.3435
0.006755	0.31225
0.0067625	0.37475
0.0067675	0.37475
0.006775	0.37475
0.0067775	0.37475
0.006785	0.406
0.00679	0.406
0.0067975	0.406
0.0068	0.43725
0.0068075	0.406
0.0068125	0.406
0.00682	0.406
0.0068225	0.406
0.00683	0.43725
0.006835	0.406
0.0068425	0.406
0.006845	0.406
0.0068525	0.406
0.0068575	0.37475
0.006865	0.37475
0.0068675	0.37475
0.006875	0.37475
0.00688	0.3435
0.0068875	0.3435
0.00689	0.3435
0.0068975	0.3435
0.0069025	0.31225
0.00691	0.31225
0.0069125	0.31225
0.00692	0.24975
0.006925	0.281
0.0069325	0.24975
0.006935	0.24975
0.0069425	0.2185
0.0069475	0.2185
0.006955	0.156
0.0069575	0.156
0.006965	0.12475
0.00697	0.12475
0.0069775	0.0935
0.00698	0.0935
0.0069875	0.06225
0.0069925	0.031
0.007	0.06225
0.0070025	0.031
0.00701	-0.000249982
0.007015	-0.000249982
0.0070225	-0.000249982
0.007025	-0.000249982
0.0070325	-0.0315
0.0070375	-0.0315
0.007045	-0.0315
0.0070475	-0.0315
0.007055	-0.06275
0.00706	-0.094
0.0070675	-0.094
0.00707	-0.094
0.0070775	-0.12525
0.0070825	-0.094
0.00709	-0.12525
0.0070925	-0.094
0.0071	-0.12525
0.007105	-0.12525
0.0071125	-0.12525
0.007115	-0.094
0.0071225	-0.12525
0.0071275	-0.12525
0.007135	-0.094
0.0071375	-0.094
0.007145	-0.094
0.00715	-0.094
0.0071575	-0.094
0.00716	-0.06275
0.0071675	-0.0315
0.0071725	-0.06275
0.00718	-0.0315
0.0071825	-0.000249982
0.00719	-0.000249982
0.007195	-0.000249982
0.0072025	0.031
0.007205	0.031
0.0072125	0.06225
0.0072175	0.0935
0.007225	0.0935
0.0072275	0.12475
0.007235	0.12475
0.00724	0.18725
0.0072475	0.12475
0.00725	0.18725
0.0072575	0.24975
0.0072625	0.2185
0.00727	0.24975
0.0072725	0.281
0.00728	0.31225
0.007285	0.281
0.0072925	0.31225
0.007295	0.3435
0.0073025	0.3435
0.0073075	0.37475
0.007315	0.37475
0.0073175	0.37475
0.007325	0.43725
0.00733	0.37475
0.0073375	0.406
0.00734	0.43725
0.0073475	0.43725
0.0073525	0.4685
0.00736	0.43725
0.0073625	0.4685
0.00737	0.4685
0.007375	0.406
0.0073825	0.43725
0.007385	0.4685
0.0073925	0.4685
0.0073975	0.43725
0.007405	0.43725
0.0074075	0.43725
0.007415	0.406
0.00742	0.406
0.0074275	0.37475
0.00743	0.43725
0.0074375	0.37475
0.0074425	0.406
0.00745	0.37475
0.0074525	0.37475
0.00746	0.3435
0.007465	0.3435
0.0074725	0.281
0.007475	0.31225
0.0074825	0.281
0.0074875	0.24975
0.007495	0.281
0.0074975	0.2185
0.007505	0.2185
0.00751	0.18725
0.0075175	0.18725
0.00752	0.18725
