x	y
0	0.66619
0.001	0.666101
0.002	0.666012
0.003	0.665923
0.004	0.665834
0.005	0.665745
0.006	0.665656
0.007	0.665567
0.008	0.665478
0.009	0.66539
0.01	0.665301
0.011	0.665213
0.012	0.665125
0.013	0.665037
0.014	0.664949
0.015	0.664862
0.016	0.664776
0.017	0.664689
0.018	0.664604
0.019	0.664518
0.02	0.664434
0.021	0.66435
0.022	0.664266
0.023	0.664184
0.024	0.664102
0.025	0.66402
0.026	0.66394
0.027	0.66386
0.028	0.663782
0.029	0.663704
0.03	0.663627
0.031	0.663551
0.032	0.663476
0.033	0.663403
0.034	0.66333
0.035	0.663259
0.036	0.663188
0.037	0.663119
0.038	0.663052
0.039	0.662985
0.04	0.66292
0.041	0.662856
0.042	0.662794
0.043	0.662733
0.044	0.662674
0.045	0.662616
0.046	0.66256
0.047	0.662506
0.048	0.662453
0.049	0.662402
0.05	0.662353
0.051	0.662306
0.052	0.662261
0.053	0.662218
0.054	0.662176
0.055	0.662137
0.056	0.6621
0.057	0.662065
0.058	0.662032
0.059	0.662002
0.06	0.661973
0.061	0.661948
0.062	0.661924
0.063	0.661903
0.064	0.661885
0.065	0.661869
0.066	0.661855
0.067	0.661845
0.068	0.661837
0.069	0.661831
0.07	0.661829
0.071	0.661829
0.072	0.661832
0.073	0.661839
0.074	0.661848
0.075	0.66186
0.076	0.661875
0.077	0.661894
0.078	0.661915
0.079	0.66194
0.08	0.661968
0.081	0.661999
0.082	0.662034
0.083	0.662072
0.084	0.662114
0.085	0.662159
0.086	0.662208
0.087	0.66226
0.088	0.662316
0.089	0.662376
0.09	0.662443
0.091	0.662517
0.092	0.662602
0.093	0.662698
0.094	0.662807
0.095	0.662932
0.096	0.663075
0.097	0.663236
0.098	0.663418
0.099	0.663623
0.1	0.663853
0.101	0.664109
0.102	0.664393
0.103	0.664708
0.104	0.665054
0.105	0.665435
0.106	0.665851
0.107	0.666304
0.108	0.666797
0.109	0.667332
0.11	0.667909
0.111	0.668531
0.112	0.6692
0.113	0.669918
0.114	0.670686
0.115	0.671507
0.116	0.672381
0.117	0.673312
0.118	0.674301
0.119	0.675349
0.12	0.676459
0.121	0.677632
0.122	0.678871
0.123	0.680176
0.124	0.681551
0.125	0.682996
0.126	0.684514
0.127	0.6861
0.128	0.687738
0.129	0.689411
0.13	0.691101
0.131	0.692792
0.132	0.694466
0.133	0.696105
0.134	0.697693
0.135	0.699212
0.136	0.700646
0.137	0.701975
0.138	0.703185
0.139	0.704256
0.14	0.705173
0.141	0.705917
0.142	0.706471
0.143	0.706819
0.144	0.706943
0.145	0.706825
0.146	0.706451
0.147	0.705834
0.148	0.704998
0.149	0.703966
0.15	0.702764
0.151	0.701415
0.152	0.699945
0.153	0.698377
0.154	0.696736
0.155	0.695046
0.156	0.69333
0.157	0.691593
0.158	0.68982
0.159	0.688
0.16	0.686118
0.161	0.684162
0.162	0.682118
0.163	0.679972
0.164	0.677712
0.165	0.675324
0.166	0.672815
0.167	0.670211
0.168	0.667539
0.169	0.664826
0.17	0.662101
0.171	0.659389
0.172	0.656719
0.173	0.654118
0.174	0.651613
0.175	0.64923
0.176	0.646981
0.177	0.644868
0.178	0.642895
0.179	0.641066
0.18	0.639384
0.181	0.637853
0.182	0.636476
0.183	0.635256
0.184	0.634197
0.185	0.633299
0.186	0.632543
0.187	0.631911
0.188	0.631383
0.189	0.630938
0.19	0.630558
0.191	0.630222
0.192	0.629913
0.193	0.629629
0.194	0.629376
0.195	0.629161
0.196	0.628992
0.197	0.628874
0.198	0.628814
0.199	0.62882
0.2	0.628899
0.201	0.629056
0.202	0.629299
0.203	0.629634
0.204	0.630067
0.205	0.630595
0.206	0.631212
0.207	0.631912
0.208	0.632691
0.209	0.633543
0.21	0.634463
0.211	0.635444
0.212	0.636482
0.213	0.637572
0.214	0.638707
0.215	0.639883
0.216	0.641103
0.217	0.642394
0.218	0.643781
0.219	0.645293
0.22	0.646958
0.221	0.648803
0.222	0.650857
0.223	0.653146
0.224	0.655698
0.225	0.658541
0.226	0.661662
0.227	0.664969
0.228	0.668356
0.229	0.671717
0.23	0.674949
0.231	0.677947
0.232	0.680605
0.233	0.682819
0.234	0.684484
0.235	0.685496
0.236	0.685749
0.237	0.685139
0.238	0.683561
0.239	0.68091
0.24	0.677081
0.241	0.671999
0.242	0.665954
0.243	0.659492
0.244	0.653164
0.245	0.64752
0.246	0.643111
0.247	0.640487
0.248	0.6402
0.249	0.6428
0.25	0.648838
0.251	0.658864
0.252	0.67343
0.253	0.693085
0.254	0.71838
0.255	0.749647
0.256	0.785371
0.257	0.823112
0.258	0.860424
0.259	0.89486
0.26	0.924322
0.261	0.948196
0.262	0.966258
0.263	0.978288
0.264	0.984064
0.265	0.983323
0.266	0.975535
0.267	0.960059
0.268	0.936264
0.269	0.904276
0.27	0.865472
0.271	0.821347
0.272	0.773393
0.273	0.723105
0.274	0.671976
0.275	0.6215
0.276	0.573172
0.277	0.528484
0.278	0.488908
0.279	0.45513
0.28	0.426869
0.281	0.403785
0.282	0.385537
0.283	0.371783
0.284	0.362184
0.285	0.356398
0.286	0.354086
0.287	0.354905
0.288	0.358516
0.289	0.364578
0.29	0.372749
0.291	0.38269
0.292	0.39406
0.293	0.406517
0.294	0.419722
0.295	0.433333
0.296	0.447009
0.297	0.460411
0.298	0.473197
0.299	0.485027
0.3	0.495559
0.301	0.504543
0.302	0.512083
0.303	0.518373
0.304	0.523608
0.305	0.527981
0.306	0.531686
0.307	0.534917
0.308	0.537869
0.309	0.540736
0.31	0.543711
0.311	0.546931
0.312	0.550396
0.313	0.554086
0.314	0.55798
0.315	0.562056
0.316	0.566294
0.317	0.570673
0.318	0.575173
0.319	0.579773
0.32	0.584451
0.321	0.589187
0.322	0.593961
0.323	0.598754
0.324	0.603551
0.325	0.608336
0.326	0.613092
0.327	0.617803
0.328	0.622453
0.329	0.627027
0.33	0.631507
0.331	0.635878
0.332	0.640124
0.333	0.644229
0.334	0.648183
0.335	0.651991
0.336	0.655658
0.337	0.659189
0.338	0.662589
0.339	0.665865
0.34	0.66902
0.341	0.672061
0.342	0.674993
0.343	0.677821
0.344	0.680551
0.345	0.683188
0.346	0.685737
0.347	0.688203
0.348	0.690586
0.349	0.692888
0.35	0.695107
0.351	0.697244
0.352	0.6993
0.353	0.701274
0.354	0.703168
0.355	0.70498
0.356	0.706712
0.357	0.708363
0.358	0.709934
0.359	0.711425
0.36	0.712836
0.361	0.714168
0.362	0.71542
0.363	0.716593
0.364	0.717683
0.365	0.718682
0.366	0.719582
0.367	0.720375
0.368	0.721051
0.369	0.721603
0.37	0.722022
0.371	0.7223
0.372	0.722429
0.373	0.722399
0.374	0.722203
0.375	0.721833
0.376	0.721279
0.377	0.720534
0.378	0.719589
0.379	0.718436
0.38	0.717066
0.381	0.715471
0.382	0.713642
0.383	0.711568
0.384	0.709237
0.385	0.706637
0.386	0.703756
0.387	0.700581
0.388	0.697102
0.389	0.693304
0.39	0.689178
0.391	0.68471
0.392	0.67989
0.393	0.674753
0.394	0.66937
