x	y1	y2	y3	y4	y5	y6
-0.00746	0.80227	0.79827	0.38198	0.3958	0.00575	0.01682
-0.00524	0.80302	0.79956	0.38349	0.3995	0.01416	0.01855
0.00151	0.80604	0.80354	0.39387	0.415	0.03132	0.02487
0.00406	0.80757	0.80514	0.39963	0.42223	0.0359	0.0278
0.00588	0.80874	0.80634	0.404	0.42741	0.03877	0.03013
0.01056	0.81181	0.80976	0.4148	0.43932	0.04513	0.03736
0.01235	0.81291	0.81123	0.41825	0.44305	0.04728	0.04068
0.01457	0.81417	0.81321	0.42177	0.44705	0.04982	0.04527
0.01772	0.81582	0.8162	0.4251	0.45164	0.05327	0.0524
0.01821	0.81608	0.81668	0.42544	0.45227	0.05381	0.05354
0.01835	0.81615	0.81682	0.42553	0.45243	0.05396	0.05386
0.02129	0.81786	0.81972	0.42666	0.45565	0.05717	0.06043
0.02285	0.81894	0.82122	0.42675	0.4571	0.05892	0.06365
0.02694	0.82215	0.82457	0.42575	0.4602	0.06385	0.07087
0.02708	0.82227	0.82466	0.4257	0.46028	0.06403	0.07108
0.02948	0.82429	0.82593	0.42449	0.46166	0.06728	0.07461
0.03241	0.82677	0.82681	0.42263	0.46294	0.07179	0.07869
0.03495	0.8291	0.82716	0.42075	0.46371	0.07636	0.08235
0.03572	0.82988	0.82721	0.42013	0.46388	0.07792	0.08354
0.03876	0.8331	0.82727	0.41754	0.46425	0.08459	0.08912
0.04249	0.83666	0.82701	0.41399	0.46396	0.09344	0.10237
0.04275	0.83688	0.82697	0.41373	0.46391	0.09406	0.1032
0.0439	0.83771	0.82679	0.41254	0.46362	0.09671	0.10606
0.04428	0.83797	0.82672	0.41213	0.4635	0.09759	0.10683
0.04608	0.83905	0.82615	0.41017	0.46282	0.10138	0.10967
0.04875	0.84049	0.82428	0.40704	0.46141	0.10598	0.11267
0.04895	0.8406	0.82413	0.4068	0.46128	0.10626	0.11286
0.04977	0.84107	0.82354	0.4058	0.46075	0.10728	0.11356
0.05562	0.84414	0.81918	0.39903	0.45566	0.10995	0.11614
0.05634	0.84426	0.81852	0.39832	0.45489	0.10975	0.1161
0.05717	0.84433	0.81768	0.39755	0.45396	0.10938	0.11591
0.06151	0.84402	0.81259	0.39446	0.44849	0.10526	0.11156
0.06212	0.8439	0.81193	0.39415	0.44765	0.1044	0.11045
0.06295	0.84372	0.81109	0.39377	0.44647	0.10311	0.10877
0.06347	0.8436	0.8106	0.39356	0.44571	0.10225	0.10763
0.06458	0.84329	0.80963	0.39317	0.44406	0.10027	0.10504
0.06885	0.8416	0.80634	0.39229	0.43717	0.09132	0.09431
0.07169	0.84001	0.80422	0.39218	0.43206	0.08476	0.08735
0.07323	0.83899	0.803	0.39226	0.4291	0.08125	0.08372
0.0743	0.83823	0.80216	0.39239	0.42697	0.07889	0.08128
0.07701	0.83614	0.80037	0.39292	0.42124	0.07325	0.07535
0.07986	0.83375	0.79931	0.39387	0.41496	0.06801	0.06964
0.08376	0.83032	0.79898	0.3959	0.40821	0.06222	0.063
0.08497	0.82925	0.79905	0.39674	0.40702	0.06078	0.06132
0.08557	0.8287	0.79911	0.39721	0.4066	0.06012	0.06057
0.08687	0.82754	0.79929	0.3983	0.40612	0.05888	0.05921
0.087	0.82743	0.79931	0.39841	0.4061	0.05877	0.0591
0.09135	0.82346	0.80041	0.40293	0.40769	0.05657	0.05805
0.09568	0.81917	0.80236	0.4083	0.41248	0.0569	0.06384
0.09725	0.81742	0.80331	0.41029	0.4152	0.05748	0.06782
0.09752	0.81712	0.80349	0.41063	0.41579	0.0576	0.06855
0.09952	0.8151	0.80497	0.41303	0.42663	0.05866	0.07341
0.09974	0.81491	0.80516	0.41328	0.42731	0.05879	0.07384
0.10049	0.81432	0.80587	0.4141	0.42874	0.05926	0.07518
0.10119	0.81386	0.80665	0.41483	0.42974	0.05973	0.07628
0.10165	0.8136	0.80722	0.41528	0.43036	0.06005	0.07696
0.10325	0.81295	0.80908	0.41677	0.43259	0.06125	0.07942
0.10423	0.81272	0.81004	0.41764	0.43407	0.06203	0.08105
0.10548	0.81255	0.81117	0.4187	0.43611	0.06307	0.08332
0.10809	0.81253	0.81338	0.42101	0.44069	0.06534	0.08897
0.11068	0.81277	0.81535	0.42368	0.44445	0.06767	0.09558
0.11475	0.81344	0.81793	0.42964	0.44741	0.07137	0.10476
0.11756	0.81403	0.81975	0.43554	0.44707	0.07388	0.10867
0.11787	0.8141	0.81997	0.43623	0.44691	0.07415	0.10895
0.11833	0.8142	0.82031	0.43726	0.44663	0.07455	0.1093
0.11989	0.81455	0.8215	0.44062	0.4453	0.07587	0.11002
0.12543	0.81641	0.82573	0.44897	0.43667	0.08004	0.10824
0.12761	0.81745	0.82713	0.45034	0.43211	0.08133	0.10626
0.12967	0.81848	0.82815	0.45071	0.42744	0.08224	0.10392
0.13071	0.81902	0.82857	0.45058	0.42494	0.08255	0.10258
0.13088	0.8191	0.82863	0.45054	0.42454	0.08259	0.10237
0.13378	0.82058	0.82943	0.44919	0.41723	0.08277	0.09809
0.13803	0.82265	0.82999	0.44557	0.406	0.08092	0.09034
0.13898	0.82308	0.83003	0.44457	0.40351	0.0801	0.08852
0.14399	0.82498	0.82965	0.43838	0.3924	0.07335	0.07912
0.14486	0.8252	0.82946	0.43718	0.39104	0.07199	0.07749
