x	y
0	0.805113
0.001	0.805743
0.002	0.806377
0.003	0.807014
0.004	0.807654
0.005	0.808299
0.006	0.808949
0.007	0.809604
0.008	0.810264
0.009	0.81093
0.01	0.811602
0.011	0.812281
0.012	0.812966
0.013	0.813659
0.014	0.814359
0.015	0.815067
0.016	0.815783
0.017	0.816507
0.018	0.81724
0.019	0.817981
0.02	0.818731
0.021	0.81949
0.022	0.820256
0.023	0.821029
0.024	0.821809
0.025	0.822596
0.026	0.823387
0.027	0.824183
0.028	0.824982
0.029	0.825784
0.03	0.826586
0.031	0.827387
0.032	0.828187
0.033	0.828982
0.034	0.829772
0.035	0.830554
0.036	0.831327
0.037	0.832088
0.038	0.832836
0.039	0.833568
0.04	0.834282
0.041	0.834975
0.042	0.835646
0.043	0.836292
0.044	0.836912
0.045	0.837502
0.046	0.838061
0.047	0.838588
0.048	0.83908
0.049	0.839536
0.05	0.839955
0.051	0.840334
0.052	0.840673
0.053	0.840971
0.054	0.841226
0.055	0.841436
0.056	0.841602
0.057	0.841721
0.058	0.841794
0.059	0.841819
0.06	0.841796
0.061	0.841727
0.062	0.841609
0.063	0.841444
0.064	0.841231
0.065	0.840972
0.066	0.840668
0.067	0.84032
0.068	0.83993
0.069	0.839498
0.07	0.839027
0.071	0.838518
0.072	0.837972
0.073	0.837391
0.074	0.836778
0.075	0.836134
0.076	0.835462
0.077	0.834764
0.078	0.834042
0.079	0.833299
0.08	0.832537
0.081	0.831759
0.082	0.830967
0.083	0.830165
0.084	0.829355
0.085	0.82854
0.086	0.827722
0.087	0.826905
0.088	0.82609
0.089	0.825283
0.09	0.824485
0.091	0.8237
0.092	0.822931
0.093	0.822181
0.094	0.821452
0.095	0.820749
0.096	0.820075
0.097	0.819432
0.098	0.818823
0.099	0.818251
0.1	0.817719
0.101	0.817228
0.102	0.81678
0.103	0.816376
0.104	0.816016
0.105	0.8157
0.106	0.815428
0.107	0.815199
0.108	0.815012
0.109	0.814865
0.11	0.814759
0.111	0.814691
0.112	0.814659
0.113	0.814664
0.114	0.814702
0.115	0.814773
0.116	0.814874
0.117	0.815005
0.118	0.815162
0.119	0.815346
0.12	0.815552
0.121	0.81578
0.122	0.816027
0.123	0.81629
0.124	0.816568
0.125	0.816858
0.126	0.817157
0.127	0.817464
0.128	0.817776
0.129	0.818091
0.13	0.818406
0.131	0.818719
0.132	0.819027
0.133	0.819329
0.134	0.819622
0.135	0.819903
0.136	0.820171
0.137	0.820424
0.138	0.820659
0.139	0.820875
0.14	0.821069
0.141	0.82124
0.142	0.821386
0.143	0.821506
0.144	0.821599
0.145	0.821662
0.146	0.821695
0.147	0.821697
0.148	0.82167
0.149	0.821614
0.15	0.821529
0.151	0.821418
0.152	0.82128
0.153	0.821117
0.154	0.82093
0.155	0.820719
0.156	0.820487
0.157	0.820235
0.158	0.819966
0.159	0.819681
0.16	0.819382
0.161	0.819072
0.162	0.818753
0.163	0.818427
0.164	0.818095
0.165	0.81776
0.166	0.817425
0.167	0.817091
0.168	0.81676
0.169	0.816435
0.17	0.816117
0.171	0.815808
0.172	0.815511
0.173	0.815227
0.174	0.814959
0.175	0.814707
0.176	0.814475
0.177	0.814263
0.178	0.814073
0.179	0.813904
0.18	0.813758
0.181	0.813635
0.182	0.813534
0.183	0.813458
0.184	0.813405
0.185	0.813376
0.186	0.813371
0.187	0.813389
0.188	0.81343
0.189	0.813494
0.19	0.813581
0.191	0.81369
0.192	0.813822
0.193	0.813975
0.194	0.81415
0.195	0.814344
0.196	0.814558
0.197	0.81479
0.198	0.815038
0.199	0.815302
0.2	0.81558
0.201	0.815869
0.202	0.81617
0.203	0.816479
0.204	0.816796
0.205	0.817118
0.206	0.817445
0.207	0.817774
0.208	0.818104
0.209	0.818433
0.21	0.818759
0.211	0.81908
0.212	0.819395
0.213	0.819702
0.214	0.819998
0.215	0.820284
0.216	0.820556
0.217	0.820813
0.218	0.821054
0.219	0.821277
0.22	0.821481
0.221	0.821665
0.222	0.821827
0.223	0.821966
0.224	0.822081
0.225	0.822172
0.226	0.822238
0.227	0.822279
0.228	0.822294
0.229	0.822285
0.23	0.82225
0.231	0.82219
0.232	0.822105
0.233	0.821997
0.234	0.821866
0.235	0.821714
0.236	0.821543
0.237	0.821352
0.238	0.821146
0.239	0.820924
0.24	0.820689
0.241	0.820443
0.242	0.820187
0.243	0.819922
0.244	0.819652
0.245	0.819378
0.246	0.819101
0.247	0.818824
0.248	0.818549
0.249	0.818278
0.25	0.818013
0.251	0.817756
0.252	0.817509
0.253	0.817274
0.254	0.817053
0.255	0.816848
0.256	0.816661
0.257	0.816493
0.258	0.816347
0.259	0.816224
0.26	0.816126
0.261	0.816054
0.262	0.816009
0.263	0.815993
0.264	0.816006
0.265	0.816049
0.266	0.816122
0.267	0.816224
0.268	0.816356
0.269	0.816519
0.27	0.816711
0.271	0.816934
0.272	0.817186
0.273	0.81747
0.274	0.817783
0.275	0.818125
0.276	0.818496
0.277	0.818894
0.278	0.819318
0.279	0.819768
0.28	0.820241
0.281	0.820736
0.282	0.821251
0.283	0.821785
0.284	0.822334
0.285	0.822898
0.286	0.823472
0.287	0.824055
0.288	0.824645
0.289	0.825238
0.29	0.82583
0.291	0.826421
0.292	0.827005
0.293	0.827581
0.294	0.828145
0.295	0.828694
0.296	0.829226
0.297	0.829737
